,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000166,0.000156,0.000146,0.000152,0.000154,0.000157,0.000151,0.000157,0.000141,0.000137
All,deaths_total_rel,0.000000,-0.060790,-0.115513,-0.080811,-0.070436,-0.053661,-0.085755,-0.049839,-0.148365,-0.175211
Elder_Ratio,deaths_gini_abs,0.313645,0.318155,0.254001,0.306808,0.313957,0.298876,0.315315,0.312261,0.277865,0.289840
Elder_Ratio,deaths_gini_rel,0.000000,0.014380,-0.190165,-0.021798,0.000993,-0.047090,0.005324,-0.004413,-0.114078,-0.075899
Mean_Household_Income,deaths_gini_abs,0.065102,0.064230,0.065222,0.028209,0.062987,0.078411,0.054368,0.073087,0.039211,0.058570
Mean_Household_Income,deaths_gini_rel,0.000000,-0.013388,0.001850,-0.566694,-0.032488,0.204433,-0.164880,0.122659,-0.397695,-0.100339
EW_Ratio,deaths_gini_abs,0.038579,0.037349,0.042470,0.033898,0.017138,0.041162,0.040223,0.040273,0.011152,0.041784
EW_Ratio,deaths_gini_rel,0.000000,-0.031891,0.100863,-0.121336,-0.555760,0.066954,0.042614,0.043908,-0.710924,0.083081
Minority_Ratio,deaths_gini_abs,0.112455,0.113775,0.081272,0.105050,0.111396,0.078134,0.120688,0.112165,0.075973,0.094513
Minority_Ratio,deaths_gini_rel,0.000000,0.011737,-0.277291,-0.065844,-0.009416,-0.305196,0.073215,-0.002579,-0.324410,-0.159550
