,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000084,0.000091,0.000078,0.000085,0.000082,0.000083,0.000089,0.000086,0.000073,0.000072
All,deaths_total_rel,0.000000,0.075243,-0.074914,0.002799,-0.025191,-0.013007,0.049394,0.015916,-0.138247,-0.144284
Elder_Ratio,deaths_gini_abs,0.233882,0.228021,0.152260,0.222110,0.245877,0.207555,0.231184,0.223840,0.157103,0.157941
Elder_Ratio,deaths_gini_rel,0.000000,-0.025060,-0.348985,-0.050331,0.051288,-0.112564,-0.011535,-0.042936,-0.328280,-0.324696
Mean_Household_Income,deaths_gini_abs,0.031853,0.030010,0.026113,0.014152,0.043349,0.041165,0.029974,0.040566,0.026228,0.032027
Mean_Household_Income,deaths_gini_rel,0.000000,-0.057854,-0.180204,-0.555715,0.360898,0.292353,-0.058984,0.273542,-0.176605,0.005468
EW_Ratio,deaths_gini_abs,0.089565,0.093401,0.098510,0.089561,0.047773,0.088966,0.098253,0.097231,0.065619,0.101011
EW_Ratio,deaths_gini_rel,0.000000,0.042828,0.099871,-0.000046,-0.466608,-0.006691,0.096998,0.085591,-0.267359,0.127791
Minority_Ratio,deaths_gini_abs,0.071672,0.077111,0.051177,0.090801,0.082854,0.038964,0.087259,0.073315,0.023381,0.035607
Minority_Ratio,deaths_gini_rel,0.000000,0.075889,-0.285958,0.266902,0.156018,-0.456350,0.217481,0.022929,-0.673776,-0.503194
