,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000045,0.000048,0.000042,0.000045,0.000044,0.000045,0.000048,0.000046,0.000040,0.000038
All,deaths_total_rel,0.000000,0.066386,-0.078028,-0.001651,-0.027000,-0.000248,0.065973,0.015275,-0.109983,-0.165387
Elder_Ratio,deaths_gini_abs,0.343249,0.341207,0.280981,0.340214,0.357634,0.324917,0.347391,0.347740,0.286524,0.286803
Elder_Ratio,deaths_gini_rel,0.000000,-0.005949,-0.181408,-0.008844,0.041908,-0.053408,0.012067,0.013082,-0.165260,-0.164446
Mean_Household_Income,deaths_gini_abs,0.118759,0.125455,0.115060,0.082131,0.126515,0.119716,0.124083,0.118089,0.086482,0.105263
Mean_Household_Income,deaths_gini_rel,0.000000,0.056382,-0.031153,-0.308424,0.065302,0.008052,0.044822,-0.005642,-0.271789,-0.113647
EW_Ratio,deaths_gini_abs,0.127680,0.120723,0.125664,0.131391,0.082466,0.136745,0.131621,0.131440,0.101322,0.106970
EW_Ratio,deaths_gini_rel,0.000000,-0.054488,-0.015784,0.029067,-0.354116,0.070997,0.030870,0.029452,-0.206434,-0.162200
Minority_Ratio,deaths_gini_abs,0.204267,0.205993,0.173761,0.213287,0.210191,0.166982,0.217169,0.208605,0.182865,0.162758
Minority_Ratio,deaths_gini_rel,0.000000,0.008448,-0.149345,0.044156,0.028998,-0.182529,0.063159,0.021234,-0.104778,-0.203210
