,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000039,0.000041,0.000037,0.000039,0.000038,0.000040,0.000041,0.000040,0.000034,0.000034
All,deaths_total_rel,0.000000,0.048246,-0.048596,-0.007575,-0.030882,0.019928,0.049178,0.010022,-0.137397,-0.127608
Elder_Ratio,deaths_gini_abs,0.322517,0.316714,0.263401,0.319677,0.326721,0.317689,0.318472,0.315826,0.264413,0.272908
Elder_Ratio,deaths_gini_rel,0.000000,-0.017995,-0.183296,-0.008807,0.013033,-0.014971,-0.012543,-0.020748,-0.180157,-0.153820
Mean_Household_Income,deaths_gini_abs,0.083646,0.074212,0.081088,0.040287,0.086672,0.083597,0.072550,0.074721,0.065613,0.095783
Mean_Household_Income,deaths_gini_rel,0.000000,-0.112785,-0.030587,-0.518370,0.036174,-0.000588,-0.132654,-0.106704,-0.215590,0.145100
EW_Ratio,deaths_gini_abs,0.119110,0.130472,0.127590,0.119215,0.085158,0.131311,0.121255,0.121403,0.082902,0.110644
EW_Ratio,deaths_gini_rel,0.000000,0.095392,0.071192,0.000882,-0.285047,0.102437,0.018008,0.019254,-0.303985,-0.071081
Minority_Ratio,deaths_gini_abs,0.106116,0.109108,0.088013,0.134473,0.089278,0.076979,0.108343,0.114184,0.086469,0.069471
Minority_Ratio,deaths_gini_rel,0.000000,0.028187,-0.170597,0.267216,-0.158676,-0.274581,0.020986,0.076030,-0.185153,-0.345332
