,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000466,0.000498,0.000456,0.000405,0.000445,0.000456,0.000489,0.000442,0.000389,0.000407
All,deaths_total_rel,0.000000,0.068469,-0.021250,-0.130679,-0.045359,-0.021155,0.048993,-0.052935,-0.165753,-0.127800
Elder_Ratio,deaths_gini_abs,0.124530,0.130730,0.072639,0.144197,0.140648,0.152358,0.130770,0.148910,0.098871,0.070796
Elder_Ratio,deaths_gini_rel,0.000000,0.049787,-0.416696,0.157931,0.129433,0.223466,0.050108,0.195782,-0.206044,-0.431491
Mean_Household_Income,deaths_gini_abs,0.467278,0.469877,0.471706,0.400232,0.445523,0.454232,0.467798,0.435210,0.407158,0.467004
Mean_Household_Income,deaths_gini_rel,0.000000,0.005562,0.009476,-0.143481,-0.046558,-0.027918,0.001113,-0.068627,-0.128661,-0.000586
EW_Ratio,deaths_gini_abs,0.314368,0.319482,0.309301,0.243360,0.269451,0.313079,0.316364,0.282588,0.248442,0.348062
EW_Ratio,deaths_gini_rel,0.000000,0.016268,-0.016117,-0.225873,-0.142878,-0.004097,0.006352,-0.101090,-0.209709,0.107182
Minority_Ratio,deaths_gini_abs,0.404781,0.401303,0.411540,0.327130,0.384785,0.369977,0.396900,0.357324,0.339821,0.438198
Minority_Ratio,deaths_gini_rel,0.000000,-0.008592,0.016697,-0.191835,-0.049401,-0.085984,-0.019471,-0.117243,-0.160482,0.082556
