,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000048,0.000043,0.000038,0.000041,0.000041,0.000043,0.000044,0.000044,0.000037,0.000034
All,deaths_total_rel,0.000000,-0.115137,-0.209369,-0.147193,-0.156330,-0.118622,-0.096400,-0.095935,-0.239334,-0.291289
Elder_Ratio,deaths_gini_abs,0.341207,0.347161,0.217267,0.330978,0.348873,0.308384,0.342730,0.344080,0.289760,0.289071
Elder_Ratio,deaths_gini_rel,0.000000,0.017449,-0.363240,-0.029981,0.022467,-0.096196,0.004464,0.008419,-0.150780,-0.152799
Mean_Household_Income,deaths_gini_abs,0.125455,0.121228,0.100283,0.048742,0.105646,0.134353,0.146848,0.109819,0.095711,0.096346
Mean_Household_Income,deaths_gini_rel,0.000000,-0.033692,-0.200651,-0.611480,-0.157902,0.070919,0.170522,-0.124633,-0.237092,-0.232033
EW_Ratio,deaths_gini_abs,0.120723,0.129847,0.128734,0.120182,0.049095,0.142254,0.128781,0.141317,0.104578,0.112041
EW_Ratio,deaths_gini_rel,0.000000,0.075579,0.066364,-0.004481,-0.593325,0.178351,0.066753,0.170593,-0.133736,-0.071914
Minority_Ratio,deaths_gini_abs,0.205993,0.214411,0.162921,0.208504,0.210495,0.122484,0.250805,0.214147,0.190831,0.190218
Minority_Ratio,deaths_gini_rel,0.000000,0.040865,-0.209096,0.012191,0.021855,-0.405399,0.217541,0.039582,-0.073606,-0.076581
