,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000038,0.000034,0.000033,0.000036,0.000035,0.000038,0.000035,0.000029,0.000031
All,deaths_total_rel,0.000000,-0.083253,-0.181965,-0.195813,-0.123510,-0.161514,-0.085668,-0.159420,-0.296457,-0.241707
Elder_Ratio,deaths_gini_abs,0.289647,0.300069,0.221972,0.286152,0.315259,0.293412,0.296351,0.299256,0.269220,0.250882
Elder_Ratio,deaths_gini_rel,0.000000,0.035982,-0.233647,-0.012065,0.088425,0.012997,0.023145,0.033174,-0.070523,-0.133836
Mean_Household_Income,deaths_gini_abs,0.266604,0.269603,0.255724,0.188211,0.267687,0.243156,0.278168,0.227515,0.209381,0.230117
Mean_Household_Income,deaths_gini_rel,0.000000,0.011250,-0.040811,-0.294045,0.004061,-0.087950,0.043376,-0.146617,-0.214635,-0.136858
EW_Ratio,deaths_gini_abs,0.086242,0.078646,0.082472,0.063937,0.036453,0.083620,0.103534,0.064755,0.056269,0.061193
EW_Ratio,deaths_gini_rel,0.000000,-0.088083,-0.043717,-0.258633,-0.577313,-0.030404,0.200502,-0.249145,-0.347551,-0.290446
Minority_Ratio,deaths_gini_abs,0.202691,0.202019,0.186127,0.174499,0.199266,0.132783,0.183843,0.156352,0.130726,0.201212
Minority_Ratio,deaths_gini_rel,0.000000,-0.003320,-0.081722,-0.139092,-0.016899,-0.344902,-0.092990,-0.228623,-0.355048,-0.007300
