,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000194,0.000228,0.000169,0.000177,0.000188,0.000190,0.000167,0.000184,0.000134,0.000133
All,deaths_total_rel,0.000000,0.176233,-0.128731,-0.085334,-0.032109,-0.018038,-0.138218,-0.052975,-0.309936,-0.313129
Elder_Ratio,deaths_gini_abs,0.297382,0.298448,0.163836,0.306402,0.251955,0.313061,0.319494,0.318292,0.218222,0.238990
Elder_Ratio,deaths_gini_rel,0.000000,0.003584,-0.449074,0.030330,-0.152759,0.052721,0.074354,0.070312,-0.266189,-0.196355
Mean_Household_Income,deaths_gini_abs,0.131879,0.126062,0.130394,0.017231,0.116408,0.074086,0.091771,0.074025,0.030826,0.086747
Mean_Household_Income,deaths_gini_rel,0.000000,-0.044106,-0.011263,-0.869343,-0.117316,-0.438224,-0.304128,-0.438692,-0.766258,-0.342221
EW_Ratio,deaths_gini_abs,0.137374,0.124095,0.083116,0.092430,0.016322,0.126091,0.094841,0.102070,0.058681,0.191350
EW_Ratio,deaths_gini_rel,0.000000,-0.096668,-0.394970,-0.327168,-0.881183,-0.082139,-0.309617,-0.256997,-0.572836,0.392909
Minority_Ratio,deaths_gini_abs,0.117963,0.132576,0.163763,0.051946,0.123283,0.034909,0.049761,0.025654,0.035762,0.132710
Minority_Ratio,deaths_gini_rel,0.000000,0.123879,0.388259,-0.559642,0.045094,-0.704072,-0.578164,-0.782527,-0.696838,0.125010
