,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000065,0.000091,0.000066,0.000063,0.000063,0.000065,0.000065,0.000065,0.000053,0.000052,0.000058
All,deaths_total_rel,0.000000,0.392070,0.012718,-0.041140,-0.029913,0.003624,-0.005116,0.000639,-0.186798,-0.202359,-0.108498
Elder_Ratio,deaths_gini_abs,0.239472,0.228021,0.114507,0.219011,0.263573,0.191453,0.244877,0.224443,0.174649,0.213499,0.219921
Elder_Ratio,deaths_gini_rel,0.000000,-0.047819,-0.521836,-0.085442,0.100643,-0.200519,0.022570,-0.062761,-0.270693,-0.108460,-0.081643
Mean_Household_Income,deaths_gini_abs,0.032981,0.030010,0.018309,0.013853,0.041939,0.057717,0.136167,0.035986,0.022614,0.046191,0.033617
Mean_Household_Income,deaths_gini_rel,0.000000,-0.090090,-0.444877,-0.579986,0.271591,0.750004,3.128594,0.091096,-0.314334,0.400512,0.019266
EW_Ratio,deaths_gini_abs,0.095477,0.093401,0.123119,0.093195,0.009581,0.104239,0.108105,0.102055,0.073595,0.096292,0.099348
EW_Ratio,deaths_gini_rel,0.000000,-0.021740,0.289517,-0.023892,-0.899654,0.091780,0.132264,0.068902,-0.229180,0.008544,0.040550
Minority_Ratio,deaths_gini_abs,0.082028,0.077111,0.044377,0.105334,0.104413,0.031991,0.175287,0.082630,0.049951,0.092142,0.075464
Minority_Ratio,deaths_gini_rel,0.000000,-0.059942,-0.459003,0.284127,0.272896,-0.610005,1.136910,0.007336,-0.391053,0.123302,-0.080016
