,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000091,0.000065,0.000066,0.000063,0.000063,0.000065,0.000065,0.000065,0.000053,0.000052,0.000058
All,deaths_total_rel,0.000000,-0.281646,-0.272509,-0.311198,-0.303134,-0.279042,-0.285321,-0.281186,-0.415833,-0.427011,-0.359586
Elder_Ratio,deaths_gini_abs,0.228021,0.239472,0.114507,0.219011,0.263573,0.191453,0.244877,0.224443,0.174649,0.213499,0.219921
Elder_Ratio,deaths_gini_rel,0.000000,0.050221,-0.497822,-0.039512,0.155918,-0.160368,0.073925,-0.015692,-0.234067,-0.063687,-0.035523
Mean_Household_Income,deaths_gini_abs,0.030010,0.032981,0.018309,0.013853,0.041939,0.057717,0.136167,0.035986,0.022614,0.046191,0.033617
Mean_Household_Income,deaths_gini_rel,0.000000,0.099010,-0.389914,-0.538401,0.397491,0.923271,3.537365,0.199125,-0.246446,0.539177,0.120183
EW_Ratio,deaths_gini_abs,0.093401,0.095477,0.123119,0.093195,0.009581,0.104239,0.108105,0.102055,0.073595,0.096292,0.099348
EW_Ratio,deaths_gini_rel,0.000000,0.022223,0.318174,-0.002200,-0.897424,0.116042,0.157426,0.092656,-0.212050,0.030956,0.063674
Minority_Ratio,deaths_gini_abs,0.077111,0.082028,0.044377,0.105334,0.104413,0.031991,0.175287,0.082630,0.049951,0.092142,0.075464
Minority_Ratio,deaths_gini_rel,0.000000,0.063765,-0.424507,0.366009,0.354061,-0.585137,1.273169,0.071568,-0.352223,0.194929,-0.021354
