,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000305,0.000188,0.000194,0.000177,0.000177,0.000170,0.000165,0.000165,0.000162,0.000129,0.000168
All,deaths_total_rel,0.000000,-0.384301,-0.364319,-0.420692,-0.420229,-0.443998,-0.459569,-0.458805,-0.471243,-0.578189,-0.448625
Elder_Ratio,deaths_gini_abs,0.228453,0.236691,0.058306,0.222616,0.218249,0.242242,0.209303,0.207395,0.179909,0.222642,0.219204
Elder_Ratio,deaths_gini_rel,0.000000,0.036056,-0.744779,-0.025553,-0.044668,0.060357,-0.083825,-0.092178,-0.212491,-0.025440,-0.040487
Mean_Household_Income,deaths_gini_abs,0.203322,0.180685,0.174298,0.007220,0.139612,0.075874,0.026957,0.031647,0.045179,0.140487,0.184242
Mean_Household_Income,deaths_gini_rel,0.000000,-0.111335,-0.142750,-0.964490,-0.313346,-0.626827,-0.867419,-0.844352,-0.777796,-0.309041,-0.093842
EW_Ratio,deaths_gini_abs,0.143136,0.122019,0.095516,0.066818,0.003234,0.076708,0.078558,0.072804,0.031021,0.101446,0.130014
EW_Ratio,deaths_gini_rel,0.000000,-0.147535,-0.332692,-0.533184,-0.977406,-0.464091,-0.451166,-0.491370,-0.783277,-0.291263,-0.091681
Minority_Ratio,deaths_gini_abs,0.203770,0.185888,0.219513,0.085231,0.146666,0.060459,0.056154,0.063683,0.081675,0.144975,0.192816
Minority_Ratio,deaths_gini_rel,0.000000,-0.087754,0.077262,-0.581728,-0.280237,-0.703297,-0.724425,-0.687477,-0.599182,-0.288533,-0.053753
