,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000036,0.000048,0.000036,0.000037,0.000037,0.000034,0.000037,0.000036,0.000033,0.000030,0.000033
All,deaths_total_rel,0.000000,0.330620,-0.009479,0.017824,0.022254,-0.052442,0.018854,-0.019782,-0.079023,-0.177725,-0.085926
Elder_Ratio,deaths_gini_abs,0.347742,0.341207,0.245704,0.338349,0.347463,0.313286,0.325384,0.340071,0.305072,0.341673,0.346233
Elder_Ratio,deaths_gini_rel,0.000000,-0.018791,-0.293429,-0.027012,-0.000802,-0.099083,-0.064293,-0.022058,-0.122706,-0.017451,-0.004337
Mean_Household_Income,deaths_gini_abs,0.128535,0.125455,0.108254,0.034751,0.118003,0.129993,0.120268,0.082408,0.080290,0.125642,0.131921
Mean_Household_Income,deaths_gini_rel,0.000000,-0.023961,-0.157786,-0.729635,-0.081942,0.011342,-0.064320,-0.358870,-0.375345,-0.022505,0.026339
EW_Ratio,deaths_gini_abs,0.126527,0.120723,0.141469,0.124558,0.022286,0.143562,0.147383,0.141130,0.098807,0.132924,0.142902
EW_Ratio,deaths_gini_rel,0.000000,-0.045871,0.118098,-0.015562,-0.823863,0.134643,0.164840,0.115418,-0.219079,0.050561,0.129422
Minority_Ratio,deaths_gini_abs,0.216025,0.205993,0.175021,0.216305,0.232895,0.140356,0.252347,0.230856,0.181369,0.222279,0.219678
Minority_Ratio,deaths_gini_rel,0.000000,-0.046442,-0.189814,0.001293,0.078090,-0.350281,0.168133,0.068652,-0.160427,0.028950,0.016908
