,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000048,0.000036,0.000036,0.000037,0.000037,0.000034,0.000037,0.000036,0.000033,0.000030,0.000033
All,deaths_total_rel,0.000000,-0.248471,-0.255594,-0.235075,-0.231746,-0.287882,-0.234301,-0.263337,-0.307859,-0.382036,-0.313047
Elder_Ratio,deaths_gini_abs,0.341207,0.347742,0.245704,0.338349,0.347463,0.313286,0.325384,0.340071,0.305072,0.341673,0.346233
Elder_Ratio,deaths_gini_rel,0.000000,0.019150,-0.279898,-0.008379,0.018333,-0.081830,-0.046373,-0.003330,-0.105905,0.001365,0.014730
Mean_Household_Income,deaths_gini_abs,0.125455,0.128535,0.108254,0.034751,0.118003,0.129993,0.120268,0.082408,0.080290,0.125642,0.131921
Mean_Household_Income,deaths_gini_rel,0.000000,0.024549,-0.137110,-0.722998,-0.059405,0.036169,-0.041350,-0.343131,-0.360010,0.001491,0.051534
EW_Ratio,deaths_gini_abs,0.120723,0.126527,0.141469,0.124558,0.022286,0.143562,0.147383,0.141130,0.098807,0.132924,0.142902
EW_Ratio,deaths_gini_rel,0.000000,0.048076,0.171852,0.031766,-0.815395,0.189192,0.220841,0.169043,-0.181535,0.101068,0.183720
Minority_Ratio,deaths_gini_abs,0.205993,0.216025,0.175021,0.216305,0.232895,0.140356,0.252347,0.230856,0.181369,0.222279,0.219678
Minority_Ratio,deaths_gini_rel,0.000000,0.048704,-0.150354,0.050059,0.130597,-0.318637,0.225026,0.120700,-0.119537,0.079063,0.066435
