,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000034,0.000041,0.000032,0.000033,0.000033,0.000033,0.000033,0.000033,0.000029,0.000029,0.000031
All,deaths_total_rel,0.000000,0.214392,-0.047118,-0.041312,-0.028352,-0.032537,-0.023221,-0.039152,-0.136222,-0.147293,-0.086000
Elder_Ratio,deaths_gini_abs,0.317163,0.316714,0.237768,0.315961,0.311428,0.293850,0.301032,0.303040,0.277724,0.305739,0.304326
Elder_Ratio,deaths_gini_rel,0.000000,-0.001416,-0.250329,-0.003788,-0.018082,-0.073505,-0.050860,-0.044528,-0.124348,-0.036019,-0.040474
Mean_Household_Income,deaths_gini_abs,0.073067,0.074212,0.086905,0.011940,0.076532,0.112890,0.087668,0.042654,0.060141,0.075325,0.079988
Mean_Household_Income,deaths_gini_rel,0.000000,0.015680,0.189399,-0.836584,0.047423,0.545020,0.199831,-0.416235,-0.176905,0.030901,0.094725
EW_Ratio,deaths_gini_abs,0.126904,0.130472,0.106792,0.127522,0.045578,0.112658,0.137205,0.103646,0.087774,0.113501,0.113521
EW_Ratio,deaths_gini_rel,0.000000,0.028115,-0.158487,0.004871,-0.640845,-0.112263,0.081166,-0.183275,-0.308344,-0.105618,-0.105464
Minority_Ratio,deaths_gini_abs,0.118874,0.109108,0.109241,0.156308,0.124599,0.071942,0.165212,0.137246,0.109061,0.124089,0.114280
Minority_Ratio,deaths_gini_rel,0.000000,-0.082154,-0.081030,0.314909,0.048163,-0.394803,0.389809,0.154555,-0.082548,0.043877,-0.038642
