,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000076,0.000107,0.000077,0.000072,0.000073,0.000075,0.000073,0.000073,0.000061,0.000057,0.000066
All,deaths_total_rel,0.000000,0.398904,0.011707,-0.057214,-0.045039,-0.014903,-0.049171,-0.042312,-0.200375,-0.252190,-0.130929
Elder_Ratio,deaths_gini_abs,0.248658,0.230873,0.111849,0.273897,0.229981,0.198841,0.263924,0.259773,0.171405,0.234939,0.226590
Elder_Ratio,deaths_gini_rel,0.000000,-0.071523,-0.550191,0.101500,-0.075113,-0.200344,0.061392,0.044698,-0.310680,-0.055174,-0.088751
Mean_Household_Income,deaths_gini_abs,0.113258,0.120154,0.153092,0.007945,0.114989,0.153573,0.062044,0.051463,0.096064,0.092395,0.113078
Mean_Household_Income,deaths_gini_rel,0.000000,0.060893,0.351719,-0.929851,0.015283,0.355959,-0.452190,-0.545614,-0.151808,-0.184205,-0.001584
EW_Ratio,deaths_gini_abs,0.069348,0.065892,0.059209,0.044059,0.008095,0.069528,0.067089,0.057851,0.034029,0.062131,0.065668
EW_Ratio,deaths_gini_rel,0.000000,-0.049829,-0.146201,-0.364671,-0.883272,0.002601,-0.032569,-0.165780,-0.509301,-0.104064,-0.053064
Minority_Ratio,deaths_gini_abs,0.052054,0.059840,0.058436,0.126997,0.042383,0.030507,0.160672,0.094262,0.030585,0.045489,0.051715
Minority_Ratio,deaths_gini_rel,0.000000,0.149592,0.122604,1.439731,-0.185787,-0.413934,2.086655,0.810862,-0.412425,-0.126113,-0.006506
