,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000107,0.000076,0.000077,0.000072,0.000073,0.000075,0.000073,0.000073,0.000061,0.000057,0.000066
All,deaths_total_rel,0.000000,-0.285154,-0.276786,-0.326054,-0.317350,-0.295808,-0.320304,-0.315401,-0.428391,-0.465431,-0.378749
Elder_Ratio,deaths_gini_abs,0.230873,0.248658,0.111849,0.273897,0.229981,0.198841,0.263924,0.259773,0.171405,0.234939,0.226590
Elder_Ratio,deaths_gini_rel,0.000000,0.077032,-0.515541,0.186351,-0.003867,-0.138745,0.143153,0.125174,-0.257580,0.017608,-0.018555
Mean_Household_Income,deaths_gini_abs,0.120154,0.113258,0.153092,0.007945,0.114989,0.153573,0.062044,0.051463,0.096064,0.092395,0.113078
Mean_Household_Income,deaths_gini_rel,0.000000,-0.057398,0.274132,-0.933877,-0.042992,0.278129,-0.483634,-0.571695,-0.200492,-0.231031,-0.058892
EW_Ratio,deaths_gini_abs,0.065892,0.069348,0.059209,0.044059,0.008095,0.069528,0.067089,0.057851,0.034029,0.062131,0.065668
EW_Ratio,deaths_gini_rel,0.000000,0.052442,-0.101427,-0.331353,-0.877151,0.055179,0.018165,-0.122032,-0.483568,-0.057079,-0.003404
Minority_Ratio,deaths_gini_abs,0.059840,0.052054,0.058436,0.126997,0.042383,0.030507,0.160672,0.094262,0.030585,0.045489,0.051715
Minority_Ratio,deaths_gini_rel,0.000000,-0.130126,-0.023476,1.122258,-0.291737,-0.490197,1.685001,0.575222,-0.488884,-0.239829,-0.135785
