,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000138,0.000166,0.000138,0.000142,0.000135,0.000139,0.000136,0.000138,0.000134,0.000124,0.000132
All,deaths_total_rel,0.000000,0.200204,0.000874,0.031383,-0.021662,0.009721,-0.012342,0.003204,-0.029963,-0.099720,-0.039793
Elder_Ratio,deaths_gini_abs,0.312199,0.313645,0.249045,0.312564,0.318183,0.312592,0.327377,0.306335,0.297917,0.319719,0.311569
Elder_Ratio,deaths_gini_rel,0.000000,0.004634,-0.202288,0.001171,0.019169,0.001261,0.048618,-0.018780,-0.045744,0.024088,-0.002018
Mean_Household_Income,deaths_gini_abs,0.055099,0.065102,0.056871,0.019130,0.061349,0.082350,0.069239,0.063589,0.043989,0.060920,0.063389
Mean_Household_Income,deaths_gini_rel,0.000000,0.181542,0.032162,-0.652803,0.113432,0.494587,0.256626,0.154083,-0.201634,0.105650,0.150456
EW_Ratio,deaths_gini_abs,0.040844,0.038579,0.047350,0.035505,0.000916,0.042041,0.040796,0.036378,0.018184,0.039128,0.037711
EW_Ratio,deaths_gini_rel,0.000000,-0.055465,0.159273,-0.130730,-0.977583,0.029301,-0.001184,-0.109357,-0.554805,-0.042014,-0.076716
Minority_Ratio,deaths_gini_abs,0.113865,0.112455,0.086522,0.113333,0.115900,0.088909,0.151730,0.094765,0.084707,0.107574,0.106129
Minority_Ratio,deaths_gini_rel,0.000000,-0.012383,-0.240133,-0.004676,0.017875,-0.219173,0.332542,-0.167740,-0.256071,-0.055245,-0.067942
