,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000166,0.000138,0.000138,0.000142,0.000135,0.000139,0.000136,0.000138,0.000134,0.000124,0.000132
All,deaths_total_rel,0.000000,-0.166808,-0.166080,-0.140660,-0.184857,-0.158709,-0.177092,-0.164139,-0.191773,-0.249894,-0.199964
Elder_Ratio,deaths_gini_abs,0.313645,0.312199,0.249045,0.312564,0.318183,0.312592,0.327377,0.306335,0.297917,0.319719,0.311569
Elder_Ratio,deaths_gini_rel,0.000000,-0.004612,-0.205967,-0.003446,0.014468,-0.003357,0.043782,-0.023306,-0.050145,0.019365,-0.006621
Mean_Household_Income,deaths_gini_abs,0.065102,0.055099,0.056871,0.019130,0.061349,0.082350,0.069239,0.063589,0.043989,0.060920,0.063389
Mean_Household_Income,deaths_gini_rel,0.000000,-0.153648,-0.126428,-0.706149,-0.057644,0.264947,0.063548,-0.023239,-0.324302,-0.064231,-0.026309
EW_Ratio,deaths_gini_abs,0.038579,0.040844,0.047350,0.035505,0.000916,0.042041,0.040796,0.036378,0.018184,0.039128,0.037711
EW_Ratio,deaths_gini_rel,0.000000,0.058722,0.227348,-0.079684,-0.976267,0.089744,0.057469,-0.057056,-0.528662,0.014241,-0.022498
Minority_Ratio,deaths_gini_abs,0.112455,0.113865,0.086522,0.113333,0.115900,0.088909,0.151730,0.094765,0.084707,0.107574,0.106129
Minority_Ratio,deaths_gini_rel,0.000000,0.012539,-0.230605,0.007804,0.030637,-0.209383,0.349250,-0.157305,-0.246743,-0.043399,-0.056255
