,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000388,0.000498,0.000413,0.000354,0.000397,0.000364,0.000339,0.000341,0.000329,0.000326,0.000384
All,deaths_total_rel,0.000000,0.285654,0.065702,-0.086196,0.023205,-0.059744,-0.125011,-0.121355,-0.150594,-0.157920,-0.009972
Elder_Ratio,deaths_gini_abs,0.136765,0.130730,0.074254,0.143966,0.140206,0.141023,0.131568,0.135234,0.128304,0.132353,0.123698
Elder_Ratio,deaths_gini_rel,0.000000,-0.044130,-0.457072,0.052654,0.025158,0.031132,-0.037998,-0.011198,-0.061866,-0.032263,-0.095542
Mean_Household_Income,deaths_gini_abs,0.447082,0.469877,0.465882,0.385798,0.425618,0.418069,0.404127,0.403289,0.418293,0.428967,0.455742
Mean_Household_Income,deaths_gini_rel,0.000000,0.050987,0.042052,-0.137075,-0.048009,-0.064894,-0.096079,-0.097953,-0.064393,-0.040518,0.019370
EW_Ratio,deaths_gini_abs,0.303356,0.319482,0.309495,0.261251,0.250290,0.270560,0.274678,0.270560,0.282423,0.294273,0.315746
EW_Ratio,deaths_gini_rel,0.000000,0.053159,0.020238,-0.138797,-0.174929,-0.108109,-0.094537,-0.108109,-0.069004,-0.029940,0.040844
Minority_Ratio,deaths_gini_abs,0.387363,0.401303,0.424443,0.341260,0.353038,0.348656,0.355613,0.355669,0.368331,0.375035,0.400192
Minority_Ratio,deaths_gini_rel,0.000000,0.035987,0.095724,-0.119018,-0.088612,-0.099926,-0.081965,-0.081820,-0.049133,-0.031825,0.033118
