,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000498,0.000388,0.000413,0.000354,0.000397,0.000364,0.000339,0.000341,0.000329,0.000326,0.000384
All,deaths_total_rel,0.000000,-0.222186,-0.171082,-0.289230,-0.204137,-0.268656,-0.319421,-0.316577,-0.339320,-0.345018,-0.229942
Elder_Ratio,deaths_gini_abs,0.130730,0.136765,0.074254,0.143966,0.140206,0.141023,0.131568,0.135234,0.128304,0.132353,0.123698
Elder_Ratio,deaths_gini_rel,0.000000,0.046167,-0.432006,0.101252,0.072487,0.078737,0.006415,0.034452,-0.018555,0.012414,-0.053786
Mean_Household_Income,deaths_gini_abs,0.469877,0.447082,0.465882,0.385798,0.425618,0.418069,0.404127,0.403289,0.418293,0.428967,0.455742
Mean_Household_Income,deaths_gini_rel,0.000000,-0.048513,-0.008502,-0.178939,-0.094193,-0.110259,-0.139931,-0.141714,-0.109782,-0.087065,-0.030083
EW_Ratio,deaths_gini_abs,0.319482,0.303356,0.309495,0.261251,0.250290,0.270560,0.274678,0.270560,0.282423,0.294273,0.315746
EW_Ratio,deaths_gini_rel,0.000000,-0.050475,-0.031259,-0.182266,-0.216575,-0.153128,-0.140240,-0.153128,-0.115996,-0.078904,-0.011693
Minority_Ratio,deaths_gini_abs,0.401303,0.387363,0.424443,0.341260,0.353038,0.348656,0.355613,0.355669,0.368331,0.375035,0.400192
Minority_Ratio,deaths_gini_rel,0.000000,-0.034737,0.057662,-0.149620,-0.120271,-0.131192,-0.113855,-0.113715,-0.082164,-0.065457,-0.002770
