,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000031,0.000041,0.000032,0.000032,0.000032,0.000031,0.000029,0.000029,0.000027,0.000027,0.000030
All,deaths_total_rel,0.000000,0.320715,0.009996,0.016376,0.032327,-0.023394,-0.069758,-0.063590,-0.125479,-0.135687,-0.032965
Elder_Ratio,deaths_gini_abs,0.292284,0.289647,0.216965,0.278181,0.323584,0.302986,0.301703,0.291847,0.282742,0.301647,0.282738
Elder_Ratio,deaths_gini_rel,0.000000,-0.009021,-0.257690,-0.048249,0.107087,0.036616,0.032226,-0.001494,-0.032644,0.032036,-0.032658
Mean_Household_Income,deaths_gini_abs,0.239097,0.266604,0.245221,0.174532,0.246925,0.239251,0.205584,0.217362,0.224558,0.233875,0.258092
Mean_Household_Income,deaths_gini_rel,0.000000,0.115046,0.025615,-0.270037,0.032742,0.000644,-0.140164,-0.090906,-0.060809,-0.021841,0.079445
EW_Ratio,deaths_gini_abs,0.076527,0.086242,0.073078,0.053244,0.033568,0.067938,0.068700,0.075386,0.060726,0.055584,0.077285
EW_Ratio,deaths_gini_rel,0.000000,0.126946,-0.045067,-0.304246,-0.561362,-0.112233,-0.102280,-0.014917,-0.206480,-0.273673,0.009899
Minority_Ratio,deaths_gini_abs,0.157500,0.202691,0.179623,0.145808,0.183728,0.118409,0.114802,0.117224,0.150800,0.159737,0.175231
Minority_Ratio,deaths_gini_rel,0.000000,0.286932,0.140465,-0.074233,0.166531,-0.248196,-0.271097,-0.255717,-0.042537,0.014206,0.112580
