,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000041,0.000031,0.000032,0.000032,0.000032,0.000031,0.000029,0.000029,0.000027,0.000027,0.000030
All,deaths_total_rel,0.000000,-0.242834,-0.235266,-0.230435,-0.218357,-0.260548,-0.295652,-0.290982,-0.337842,-0.345572,-0.267794
Elder_Ratio,deaths_gini_abs,0.289647,0.292284,0.216965,0.278181,0.323584,0.302986,0.301703,0.291847,0.282742,0.301647,0.282738
Elder_Ratio,deaths_gini_rel,0.000000,0.009103,-0.250932,-0.039585,0.117165,0.046053,0.041622,0.007596,-0.023838,0.041430,-0.023852
Mean_Household_Income,deaths_gini_abs,0.266604,0.239097,0.245221,0.174532,0.246925,0.239251,0.205584,0.217362,0.224558,0.233875,0.258092
Mean_Household_Income,deaths_gini_rel,0.000000,-0.103176,-0.080204,-0.345351,-0.073813,-0.102598,-0.228879,-0.184703,-0.157711,-0.122764,-0.031928
EW_Ratio,deaths_gini_abs,0.086242,0.076527,0.073078,0.053244,0.033568,0.067938,0.068700,0.075386,0.060726,0.055584,0.077285
EW_Ratio,deaths_gini_rel,0.000000,-0.112646,-0.152636,-0.382620,-0.610773,-0.212236,-0.203404,-0.125882,-0.295867,-0.355491,-0.103862
Minority_Ratio,deaths_gini_abs,0.202691,0.157500,0.179623,0.145808,0.183728,0.118409,0.114802,0.117224,0.150800,0.159737,0.175231
Minority_Ratio,deaths_gini_rel,0.000000,-0.222958,-0.113811,-0.280640,-0.093557,-0.415817,-0.433612,-0.421661,-0.256012,-0.211920,-0.135479
