,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000151,0.000228,0.000152,0.000144,0.000154,0.000144,0.000131,0.000132,0.000133,0.000105,0.000137
All,deaths_total_rel,0.000000,0.511783,0.007943,-0.043203,0.020048,-0.048743,-0.133683,-0.122076,-0.121373,-0.304561,-0.090158
Elder_Ratio,deaths_gini_abs,0.314480,0.298448,0.178787,0.322286,0.276414,0.317954,0.310436,0.323534,0.254153,0.311448,0.298164
Elder_Ratio,deaths_gini_rel,0.000000,-0.050978,-0.431483,0.024824,-0.121043,0.011048,-0.012860,0.028791,-0.191832,-0.009639,-0.051881
Mean_Household_Income,deaths_gini_abs,0.122377,0.126062,0.123446,0.005191,0.089599,0.074387,0.080699,0.073703,0.028879,0.086379,0.116281
Mean_Household_Income,deaths_gini_rel,0.000000,0.030116,0.008735,-0.957582,-0.267848,-0.392150,-0.340572,-0.397737,-0.764017,-0.294154,-0.049812
EW_Ratio,deaths_gini_abs,0.140243,0.124095,0.101452,0.110249,0.012951,0.119510,0.110874,0.122522,0.058356,0.141429,0.140887
EW_Ratio,deaths_gini_rel,0.000000,-0.115149,-0.276599,-0.213873,-0.907651,-0.147839,-0.209415,-0.126360,-0.583895,0.008456,0.004591
Minority_Ratio,deaths_gini_abs,0.095340,0.132576,0.142745,0.034282,0.094841,0.035808,0.063083,0.068470,0.040421,0.077249,0.113397
Minority_Ratio,deaths_gini_rel,0.000000,0.390566,0.497225,-0.640423,-0.005229,-0.624418,-0.338333,-0.281836,-0.576028,-0.189755,0.189402
