,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation,Real_Scaled
All,deaths_total_abs,0.000228,0.000151,0.000152,0.000144,0.000154,0.000144,0.000131,0.000132,0.000133,0.000105,0.000137
All,deaths_total_rel,0.000000,-0.338529,-0.333275,-0.367107,-0.325268,-0.370771,-0.426957,-0.419279,-0.418814,-0.539987,-0.398166
Elder_Ratio,deaths_gini_abs,0.298448,0.314480,0.178787,0.322286,0.276414,0.317954,0.310436,0.323534,0.254153,0.311448,0.298164
Elder_Ratio,deaths_gini_rel,0.000000,0.053716,-0.400944,0.079873,-0.073829,0.065357,0.040165,0.084054,-0.148420,0.043559,-0.000952
Mean_Household_Income,deaths_gini_abs,0.126062,0.122377,0.123446,0.005191,0.089599,0.074387,0.080699,0.073703,0.028879,0.086379,0.116281
Mean_Household_Income,deaths_gini_rel,0.000000,-0.029235,-0.020756,-0.958822,-0.289252,-0.409921,-0.359851,-0.415344,-0.770916,-0.314789,-0.077590
EW_Ratio,deaths_gini_abs,0.124095,0.140243,0.101452,0.110249,0.012951,0.119510,0.110874,0.122522,0.058356,0.141429,0.140887
EW_Ratio,deaths_gini_rel,0.000000,0.130133,-0.182460,-0.111572,-0.895633,-0.036945,-0.106533,-0.012670,-0.529746,0.139690,0.135322
Minority_Ratio,deaths_gini_abs,0.132576,0.095340,0.142745,0.034282,0.094841,0.035808,0.063083,0.068470,0.040421,0.077249,0.113397
Minority_Ratio,deaths_gini_rel,0.000000,-0.280868,0.076702,-0.741417,-0.284629,-0.729907,-0.524175,-0.483546,-0.695108,-0.417327,-0.144663
