,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000305,0.000280,0.000264,0.000269,0.000274,0.000279,0.000269,0.000273,0.000237,0.000238
All,deaths_total_rel,0.000000,-0.082176,-0.134987,-0.120956,-0.103718,-0.087685,-0.119008,-0.107828,-0.224910,-0.221510
Elder_Ratio,deaths_gini_abs,0.228453,0.231174,0.149054,0.220099,0.219483,0.238980,0.237891,0.233106,0.165998,0.157380
Elder_Ratio,deaths_gini_rel,0.000000,0.011907,-0.347553,-0.036570,-0.039267,0.046078,0.041308,0.020366,-0.273382,-0.311106
Mean_Household_Income,deaths_gini_abs,0.203322,0.200234,0.189840,0.133230,0.176564,0.165988,0.140479,0.149195,0.100645,0.197479
Mean_Household_Income,deaths_gini_rel,0.000000,-0.015187,-0.066310,-0.344731,-0.131605,-0.183617,-0.309079,-0.266215,-0.504998,-0.028739
EW_Ratio,deaths_gini_abs,0.143136,0.143953,0.109307,0.084271,0.079361,0.123655,0.103012,0.109345,0.040122,0.179632
EW_Ratio,deaths_gini_rel,0.000000,0.005708,-0.236344,-0.411253,-0.445558,-0.136105,-0.280325,-0.236077,-0.719694,0.254970
Minority_Ratio,deaths_gini_abs,0.203770,0.203240,0.219739,0.147903,0.179540,0.153449,0.146933,0.157118,0.113978,0.251114
Minority_Ratio,deaths_gini_rel,0.000000,-0.002599,0.078372,-0.274164,-0.118909,-0.246948,-0.278928,-0.228944,-0.440653,0.232340
