,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000040,0.000041,0.000039,0.000038,0.000038,0.000039,0.000040,0.000039,0.000035,0.000035
All,deaths_total_rel,0.000000,0.026616,-0.025459,-0.047776,-0.047611,-0.031906,-0.012399,-0.036370,-0.126302,-0.137047
Elder_Ratio,deaths_gini_abs,0.295073,0.289647,0.258886,0.295282,0.309907,0.302652,0.290015,0.299872,0.267601,0.259754
Elder_Ratio,deaths_gini_rel,0.000000,-0.018388,-0.122636,0.000711,0.050272,0.025688,-0.017139,0.016266,-0.093100,-0.119695
Mean_Household_Income,deaths_gini_abs,0.279084,0.266604,0.265245,0.239344,0.256391,0.258365,0.273299,0.258676,0.219290,0.252712
Mean_Household_Income,deaths_gini_rel,0.000000,-0.044718,-0.049589,-0.142394,-0.081312,-0.074239,-0.020729,-0.073126,-0.214251,-0.094496
EW_Ratio,deaths_gini_abs,0.095372,0.086242,0.102654,0.092660,0.046390,0.085839,0.103437,0.078987,0.044843,0.065916
EW_Ratio,deaths_gini_rel,0.000000,-0.095731,0.076350,-0.028434,-0.513589,-0.099952,0.084564,-0.171800,-0.529808,-0.308852
Minority_Ratio,deaths_gini_abs,0.210979,0.202691,0.204155,0.191708,0.199011,0.187903,0.204673,0.177605,0.160917,0.209122
Minority_Ratio,deaths_gini_rel,0.000000,-0.039281,-0.032342,-0.091341,-0.056728,-0.109373,-0.029886,-0.158185,-0.237282,-0.008801
