,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000228,0.000218,0.000207,0.000211,0.000218,0.000218,0.000207,0.000211,0.000190,0.000194
All,deaths_total_rel,0.000000,-0.042905,-0.092441,-0.074216,-0.045755,-0.044824,-0.093740,-0.076077,-0.168072,-0.150972
Elder_Ratio,deaths_gini_abs,0.298448,0.297190,0.244558,0.301263,0.286747,0.305389,0.314528,0.309879,0.267085,0.265544
Elder_Ratio,deaths_gini_rel,0.000000,-0.004216,-0.180570,0.009430,-0.039208,0.023257,0.053876,0.038302,-0.105089,-0.110252
Mean_Household_Income,deaths_gini_abs,0.126062,0.130179,0.123782,0.083240,0.125831,0.117764,0.084127,0.091571,0.059937,0.125552
Mean_Household_Income,deaths_gini_rel,0.000000,0.032657,-0.018093,-0.339693,-0.001839,-0.065827,-0.332657,-0.273608,-0.524548,-0.004050
EW_Ratio,deaths_gini_abs,0.124095,0.127867,0.099623,0.113798,0.091410,0.136292,0.112165,0.116687,0.095628,0.158858
EW_Ratio,deaths_gini_rel,0.000000,0.030396,-0.197199,-0.082972,-0.263382,0.098294,-0.096136,-0.059694,-0.229398,0.280133
Minority_Ratio,deaths_gini_abs,0.132576,0.128425,0.153625,0.096736,0.126321,0.101756,0.075722,0.092456,0.073565,0.154347
Minority_Ratio,deaths_gini_rel,0.000000,-0.031312,0.158770,-0.270335,-0.047179,-0.232475,-0.428843,-0.302618,-0.445109,0.164210
