,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000041,0.000039,0.000041,0.000039,0.000041,0.000040,0.000041,0.000038,0.000038
All,deaths_total_rel,0.000000,-0.016676,-0.045914,-0.011006,-0.044580,-0.015453,-0.020456,0.000334,-0.073930,-0.081712
Elder_Ratio,deaths_gini_abs,0.316714,0.318598,0.288216,0.313322,0.319800,0.314058,0.310722,0.314879,0.285705,0.291597
Elder_Ratio,deaths_gini_rel,0.000000,0.005949,-0.089979,-0.010707,0.009746,-0.008384,-0.018917,-0.005791,-0.097907,-0.079304
Mean_Household_Income,deaths_gini_abs,0.074212,0.069116,0.072518,0.049857,0.086848,0.075778,0.059970,0.083753,0.066141,0.072738
Mean_Household_Income,deaths_gini_rel,0.000000,-0.068670,-0.022829,-0.328183,0.170265,0.021090,-0.191919,0.128563,-0.108759,-0.019867
EW_Ratio,deaths_gini_abs,0.130472,0.122772,0.126225,0.121547,0.099225,0.134795,0.129401,0.128032,0.110190,0.123069
EW_Ratio,deaths_gini_rel,0.000000,-0.059016,-0.032556,-0.068410,-0.239497,0.033133,-0.008210,-0.018701,-0.155449,-0.056739
Minority_Ratio,deaths_gini_abs,0.109108,0.115504,0.094675,0.125027,0.101835,0.096399,0.116539,0.100517,0.098438,0.097093
Minority_Ratio,deaths_gini_rel,0.000000,0.058625,-0.132281,0.145901,-0.066657,-0.116477,0.068115,-0.078734,-0.097791,-0.110122
