,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000163,0.000166,0.000160,0.000161,0.000162,0.000163,0.000160,0.000163,0.000158,0.000157
All,deaths_total_rel,0.000000,0.018538,-0.013131,-0.009269,-0.004820,0.001885,-0.014336,0.001421,-0.027961,-0.032472
Elder_Ratio,deaths_gini_abs,0.316922,0.313645,0.297667,0.313150,0.313738,0.307078,0.315122,0.312686,0.302709,0.303055
Elder_Ratio,deaths_gini_rel,0.000000,-0.010338,-0.060754,-0.011901,-0.010044,-0.031060,-0.005679,-0.013365,-0.044846,-0.043755
Mean_Household_Income,deaths_gini_abs,0.062492,0.065102,0.065638,0.049499,0.061456,0.069378,0.054935,0.061971,0.054723,0.059474
Mean_Household_Income,deaths_gini_rel,0.000000,0.041759,0.050347,-0.207913,-0.016587,0.110194,-0.120936,-0.008336,-0.124325,-0.048295
EW_Ratio,deaths_gini_abs,0.036637,0.038579,0.034768,0.032478,0.026023,0.036115,0.037369,0.039887,0.022736,0.038710
EW_Ratio,deaths_gini_rel,0.000000,0.053005,-0.051012,-0.113520,-0.289713,-0.014240,0.019985,0.088710,-0.379423,0.056572
Minority_Ratio,deaths_gini_abs,0.113914,0.112455,0.100965,0.108523,0.109218,0.098844,0.110453,0.112782,0.101961,0.105678
Minority_Ratio,deaths_gini_rel,0.000000,-0.012805,-0.113668,-0.047318,-0.041220,-0.132291,-0.030382,-0.009933,-0.104927,-0.072297
