,Vaccinated_Idxs,Fatality_Rate_Abs,Fatality_Rate_Rel,Age_Gini_Abs,Age_Gini_Rel,Income_Gini_Abs,Income_Gini_Rel,Occupation_Gini_Abs,Occupation_Gini_Rel,Minority_Gini_Abs,Minority_Gini_Rel
0,"[361, 366, 372, 403, 405, 421, 425, 426, 434, 446, 449, 468, 697, 706, 712, 780, 781, 783, 799, 1076, 1094, 1100, 1139, 1152, 1156, 1165, 1181, 1185, 1191, 1194, 1226, 1229, 1252, 1259, 1283, 1299, 1301, 1305, 1604, 1618, 1623, 1658, 1661, 1664, 1668, 1672, 1675, 1677, 1682, 1684, 1688, 1695, 1702, 1705, 1722, 1750, 1852, 1899, 1902, 1910, 1921, 1925, 1926, 1963, 1967, 2212, 2336, 2591, 2894, 2938, 2973]",0.000088,-0.030267,0.253050,0.109766,0.026239,-0.125665,0.084708,-0.093070,0.093906,0.217803
1,"[361, 363, 366, 372, 403, 405, 421, 425, 426, 434, 446, 449, 468, 665, 697, 706, 712, 780, 781, 783, 799, 1076, 1094, 1100, 1139, 1152, 1156, 1165, 1181, 1185, 1191, 1194, 1226, 1229, 1252, 1259, 1283, 1299, 1301, 1305, 1604, 1618, 1623, 1627, 1658, 1661, 1664, 1668, 1672, 1675, 1677, 1682, 1684, 1688, 1695, 1702, 1722, 1750, 1852, 1899, 1902, 1910, 1921, 1925, 1926, 1963, 1967, 1968, 2212, 2336, 2591, 2894, 2938, 2973]",0.000089,-0.020493,0.242810,0.064860,0.018854,-0.371748,0.092635,-0.008200,0.090192,0.169631
2,"[361, 363, 366, 372, 403, 405, 421, 425, 434, 446, 449, 468, 665, 697, 706, 712, 780, 781, 783, 799, 1076, 1094, 1100, 1139, 1156, 1165, 1181, 1185, 1191, 1194, 1226, 1229, 1252, 1259, 1283, 1299, 1301, 1305, 1604, 1618, 1623, 1627, 1658, 1661, 1664, 1668, 1672, 1675, 1677, 1682, 1684, 1688, 1702, 1705, 1722, 1750, 1852, 1899, 1902, 1910, 1921, 1925, 1926, 1963, 1967, 1968, 2212, 2336, 2591, 2894, 2938, 2973]",0.000088,-0.033202,0.239935,0.052252,0.025999,-0.133654,0.088057,-0.057213,0.083823,0.087043
3,"[361, 363, 372, 403, 405, 421, 425, 426, 434, 446, 468, 665, 697, 706, 712, 781, 783, 799, 1076, 1094, 1100, 1139, 1152, 1156, 1165, 1181, 1185, 1191, 1194, 1226, 1229, 1252, 1259, 1283, 1299, 1301, 1305, 1604, 1618, 1623, 1627, 1658, 1661, 1664, 1668, 1672, 1675, 1677, 1682, 1684, 1688, 1695, 1702, 1705, 1722, 1750, 1852, 1899, 1902, 1910, 1921, 1925, 1926, 1963, 1967, 1968, 2212, 2336, 2591, 2894, 2938, 2973]",0.000088,-0.034376,0.242392,0.063025,0.028429,-0.052676,0.091376,-0.021681,0.096902,0.256658
4,"[361, 366, 372, 403, 405, 421, 425, 426, 434, 446, 449, 468, 665, 697, 706, 712, 780, 781, 783, 799, 1076, 1094, 1100, 1156, 1165, 1181, 1185, 1191, 1194, 1226, 1229, 1252, 1259, 1283, 1299, 1301, 1305, 1604, 1618, 1627, 1658, 1661, 1664, 1668, 1672, 1675, 1677, 1684, 1688, 1695, 1702, 1705, 1722, 1750, 1852, 1899, 1902, 1910, 1921, 1925, 1926, 1963, 1967, 1968, 2212, 2336, 2591, 2894, 2938, 2973]",0.000088,-0.031467,0.243236,0.066728,0.020128,-0.329297,0.091808,-0.017052,0.090948,0.179438
5,"[2, 177, 185, 218, 235, 280, 346, 348, 350, 354, 371, 397, 417, 423, 442, 455, 460, 477, 683, 698, 742, 873, 1091, 1108, 1160, 1212, 1253, 1343, 1419, 1569, 1571, 1594, 1605, 1616, 1649, 1678, 1698, 1716, 1895, 1920, 1927, 1928, 1939, 1946, 1952, 1964, 2081, 2082, 2085, 2227, 2254, 2282, 2352, 2450, 2629, 2789, 2944, 2975, 2982, 3108, 3118]",0.000079,-0.126455,0.266983,0.170874,0.038806,0.293108,0.081742,-0.124829,0.118740,0.539852
6,"[2, 177, 218, 235, 280, 346, 348, 350, 354, 371, 397, 417, 423, 442, 455, 460, 477, 683, 698, 742, 873, 1091, 1098, 1108, 1160, 1212, 1253, 1343, 1419, 1569, 1571, 1594, 1605, 1616, 1649, 1683, 1686, 1716, 1920, 1928, 1939, 1946, 1952, 1964, 2081, 2082, 2085, 2227, 2254, 2282, 2352, 2422, 2450, 2616, 2629, 2789, 2944, 2975, 2982, 3108, 3118]",0.000080,-0.118033,0.269280,0.180945,0.040532,0.350609,0.084720,-0.092947,0.118625,0.538371
7,"[2, 177, 185, 218, 235, 346, 348, 350, 371, 397, 417, 423, 455, 460, 477, 683, 698, 742, 873, 1071, 1098, 1108, 1212, 1253, 1343, 1419, 1569, 1571, 1594, 1605, 1616, 1649, 1678, 1686, 1698, 1716, 1895, 1920, 1927, 1928, 1939, 1946, 1952, 1964, 2081, 2082, 2085, 2227, 2254, 2282, 2352, 2422, 2616, 2629, 2789, 2944, 2975, 2982, 3108, 3118]",0.000079,-0.126378,0.266221,0.167528,0.032518,0.083567,0.089462,-0.042176,0.116150,0.506273
8,"[2, 177, 218, 235, 280, 346, 348, 350, 371, 397, 417, 423, 442, 455, 460, 477, 683, 698, 742, 873, 1071, 1091, 1098, 1108, 1160, 1212, 1253, 1419, 1569, 1571, 1594, 1605, 1616, 1649, 1678, 1686, 1698, 1716, 1895, 1920, 1928, 1952, 1964, 2081, 2082, 2085, 2227, 2254, 2282, 2352, 2422, 2450, 2616, 2629, 2789, 2944, 2975, 2982, 3108, 3118]",0.000081,-0.105808,0.267472,0.173018,0.033496,0.116148,0.081624,-0.126088,0.118649,0.538682
9,"[2, 177, 185, 218, 280, 346, 348, 350, 354, 371, 397, 417, 423, 442, 455, 460, 477, 683, 698, 742, 873, 1071, 1091, 1098, 1108, 1160, 1212, 1253, 1343, 1419, 1569, 1571, 1594, 1605, 1616, 1649, 1678, 1683, 1686, 1698, 1716, 1927, 1928, 1939, 1946, 1952, 1964, 2081, 2082, 2085, 2227, 2254, 2282, 2352, 2422, 2450, 2616, 2629, 2789, 2944, 2975, 2982, 3108, 3118]",0.000080,-0.113720,0.268077,0.175668,0.046215,0.539988,0.080834,-0.134549,0.123341,0.599523
