,Vaccinated_Idxs,Fatality_Rate_Abs,Fatality_Rate_Rel,Age_Gini_Abs,Age_Gini_Rel,Income_Gini_Abs,Income_Gini_Rel,Occupation_Gini_Abs,Occupation_Gini_Rel,Minority_Gini_Abs,Minority_Gini_Rel
0,"[78, 725, 768, 783, 805, 819, 832, 838, 845, 898, 900, 955, 975, 1004, 1045, 1060, 1099, 1103, 1105, 1106, 1113, 1114, 1138, 1148, 1162, 1169, 1191, 1192, 1193, 1194, 1205, 1211, 1214, 1253, 1256, 1276, 1360, 1398, 1399, 1400, 1401, 1495, 1500, 1521, 1534, 1544, 1552, 1574, 1598, 1604, 1607, 1611, 1622, 1625, 1638, 1679, 1691, 1764, 1834, 2144, 2145, 2256, 2392, 2672, 2788, 2793, 2809, 2816, 2829, 2857, 3103, 3148, 3160, 3252, 3413, 3415, 3458, 3459, 3473, 3478, 3503, 3508, 3510, 3513, 3515, 3531, 3597, 3602, 3612, 3635, 3648, 3653, 3689, 3784, 3810, 3812, 3823, 3834, 3839, 3843, 3851, 3857, 3866, 3868, 3900, 3906, 3914, 3933, 3934, 3951, 4008, 4010, 4479, 4709, 4767, 4864, 4872, 4885, 4896, 4927, 5051, 5060, 5146, 5202, 5203, 5230, 5232, 5870, 5872, 5904, 5908, 6151, 6155, 6172, 6174, 6181, 6207, 6215, 6263, 6268, 6274, 6275, 6294, 6389, 6397, 6681]",0.000295,-0.035606,0.236687,0.036039,0.192717,-0.052159,0.136556,-0.045975,0.197067,-0.032894
1,"[22, 374, 703, 710, 741, 768, 783, 803, 819, 825, 838, 900, 955, 960, 965, 1002, 1004, 1038, 1045, 1051, 1060, 1099, 1103, 1105, 1138, 1140, 1148, 1169, 1191, 1194, 1214, 1221, 1225, 1253, 1256, 1259, 1262, 1276, 1336, 1360, 1396, 1399, 1401, 1476, 1493, 1500, 1516, 1535, 1540, 1574, 1587, 1598, 1601, 1605, 1611, 1622, 1636, 1638, 1690, 1691, 1707, 2144, 2256, 2392, 2672, 2781, 2788, 2793, 2803, 2811, 2816, 2825, 2829, 2846, 2960, 3148, 3160, 3415, 3458, 3459, 3478, 3488, 3508, 3513, 3515, 3531, 3597, 3602, 3648, 3689, 3702, 3784, 3812, 3818, 3823, 3834, 3844, 3857, 3864, 3866, 3868, 3900, 3906, 3914, 3915, 3934, 3936, 3938, 3945, 3951, 4008, 4056, 4479, 4480, 4709, 4762, 4767, 4872, 4885, 4896, 4927, 5051, 5060, 5146, 5184, 5203, 5204, 5230, 5232, 5870, 5872, 5903, 5917, 6025, 6167, 6172, 6174, 6181, 6188, 6204, 6210, 6214, 6215, 6236, 6263, 6268, 6275, 6294, 6389, 6397, 6681, 6700]",0.000297,-0.027611,0.237756,0.040719,0.192519,-0.053134,0.134644,-0.059333,0.193232,-0.051713
2,"[22, 709, 741, 768, 818, 832, 838, 898, 900, 904, 959, 960, 965, 1002, 1004, 1017, 1020, 1041, 1049, 1051, 1099, 1113, 1114, 1138, 1140, 1169, 1191, 1192, 1194, 1221, 1253, 1256, 1259, 1276, 1375, 1396, 1398, 1399, 1400, 1476, 1493, 1500, 1516, 1521, 1541, 1544, 1552, 1587, 1601, 1607, 1611, 1619, 1621, 1622, 1625, 1679, 1686, 1691, 1707, 1717, 2144, 2256, 2392, 2672, 2788, 2793, 2809, 2816, 2857, 2960, 3103, 3148, 3252, 3413, 3458, 3473, 3488, 3489, 3510, 3513, 3515, 3531, 3537, 3597, 3602, 3612, 3648, 3653, 3689, 3784, 3812, 3818, 3823, 3834, 3843, 3844, 3851, 3900, 3905, 3906, 3914, 3936, 3938, 3945, 4008, 4010, 4056, 4479, 4480, 4709, 4762, 4767, 4864, 4865, 4885, 4896, 4906, 4927, 4928, 4929, 4958, 4995, 5051, 5060, 5146, 5203, 5204, 5230, 5872, 5873, 5904, 5908, 5929, 6025, 6151, 6155, 6167, 6172, 6181, 6188, 6204, 6214, 6215, 6236, 6263, 6268, 6274, 6275, 6397, 6669, 6681, 6700]",0.000293,-0.039581,0.232111,0.016011,0.193114,-0.050206,0.138408,-0.033034,0.196337,-0.036476
3,"[703, 710, 741, 783, 803, 818, 819, 825, 898, 955, 959, 965, 975, 1004, 1017, 1045, 1060, 1103, 1105, 1106, 1113, 1138, 1148, 1162, 1191, 1193, 1194, 1205, 1211, 1214, 1253, 1256, 1262, 1336, 1375, 1396, 1400, 1500, 1516, 1521, 1534, 1535, 1552, 1598, 1604, 1605, 1607, 1621, 1622, 1625, 1636, 1638, 1764, 1834, 2144, 2145, 2256, 2392, 2672, 2781, 2782, 2788, 2793, 2803, 2809, 2811, 2815, 2825, 2829, 2846, 2857, 2960, 3103, 3148, 3160, 3415, 3459, 3460, 3473, 3478, 3488, 3503, 3513, 3515, 3527, 3537, 3597, 3602, 3612, 3648, 3653, 3702, 3818, 3823, 3838, 3839, 3843, 3851, 3864, 3866, 3900, 3905, 3914, 3915, 3933, 3934, 3936, 3938, 3945, 3950, 4008, 4010, 4056, 4480, 4709, 4762, 4767, 4864, 4865, 4885, 4896, 4906, 4928, 4929, 4958, 5060, 5146, 5184, 5202, 5203, 5204, 5232, 5872, 5873, 5903, 5904, 5917, 5929, 6025, 6151, 6155, 6167, 6172, 6188, 6204, 6207, 6210, 6215, 6236, 6263, 6268, 6294, 6397, 6666, 6668, 6681]",0.000293,-0.042239,0.238733,0.044997,0.186970,-0.080424,0.131821,-0.079055,0.186364,-0.085416
4,"[78, 710, 725, 741, 783, 818, 819, 832, 838, 845, 900, 955, 975, 1002, 1017, 1041, 1045, 1049, 1106, 1113, 1114, 1140, 1162, 1169, 1191, 1192, 1193, 1205, 1214, 1225, 1256, 1259, 1276, 1336, 1360, 1396, 1399, 1400, 1401, 1476, 1493, 1500, 1516, 1521, 1534, 1535, 1540, 1574, 1598, 1601, 1604, 1607, 1619, 1621, 1622, 1638, 1690, 1691, 1717, 1764, 2145, 2256, 2392, 2672, 2781, 2793, 2803, 2809, 2811, 2816, 2829, 2960, 3103, 3148, 3252, 3413, 3415, 3458, 3459, 3460, 3489, 3503, 3508, 3510, 3513, 3515, 3531, 3597, 3612, 3648, 3653, 3689, 3784, 3810, 3818, 3823, 3839, 3843, 3851, 3857, 3864, 3868, 3900, 3905, 3906, 3914, 3915, 3934, 3936, 3945, 3950, 4006, 4008, 4762, 4767, 4864, 4872, 4885, 4896, 4927, 4928, 5051, 5060, 5184, 5202, 5203, 5204, 5232, 5870, 5873, 5903, 5904, 5908, 5917, 6025, 6151, 6167, 6181, 6207, 6214, 6263, 6274, 6294, 6389, 6666, 6668, 6700]",0.000293,-0.040060,0.237620,0.040123,0.188616,-0.072327,0.129864,-0.092727,0.189051,-0.072230
5,"[1, 23, 26, 37, 95, 125, 170, 574, 633, 698, 700, 779, 813, 821, 834, 839, 905, 907, 924, 929, 941, 947, 950, 964, 967, 969, 983, 984, 987, 988, 990, 996, 1011, 1026, 1027, 1039, 1048, 1055, 1056, 1059, 1061, 1077, 1135, 1136, 1137, 1139, 1142, 1161, 1165, 1175, 1196, 1197, 1209, 1213, 1246, 1255, 1289, 1356, 1361, 1364, 1379, 1395, 1415, 1453, 1470, 1472, 1502, 1504, 1508, 1515, 1517, 1519, 1525, 1531, 1545, 1580, 1602, 1613, 1614, 1626, 1627, 1628, 1653, 1684, 1704, 1716, 1722, 1731, 1770, 2600, 2683, 2786, 2802, 2831, 2834, 2871, 3088, 3237, 3406, 3409, 3468, 3493, 3529, 3544, 3549, 3637, 3639, 3643, 3708, 3710, 3780, 3792, 3793, 3805, 3811, 3825, 3826, 3848, 3860, 3924, 3954, 3955, 3957, 3965, 3967, 3972, 4011, 4014, 4020, 4037, 5058, 5200, 5227, 5238, 5242, 5875, 5899, 6170, 6208, 6216, 6219, 6260, 6357, 6606, 6673]",0.000272,-0.108425,0.251708,0.101793,0.160993,-0.208189,0.111256,-0.222730,0.167393,-0.178519
6,"[1, 23, 26, 35, 37, 95, 125, 170, 574, 633, 688, 698, 700, 813, 834, 839, 905, 907, 924, 929, 941, 947, 950, 964, 967, 969, 983, 984, 987, 988, 990, 996, 1026, 1027, 1039, 1048, 1056, 1059, 1061, 1077, 1110, 1135, 1136, 1137, 1139, 1142, 1161, 1165, 1175, 1196, 1197, 1209, 1213, 1218, 1246, 1255, 1289, 1356, 1361, 1364, 1379, 1395, 1415, 1453, 1470, 1472, 1502, 1504, 1506, 1508, 1515, 1517, 1519, 1525, 1531, 1545, 1580, 1602, 1613, 1614, 1626, 1628, 1653, 1684, 1704, 1716, 1719, 1722, 1770, 2600, 2683, 2786, 2831, 2834, 2871, 2946, 3088, 3237, 3409, 3468, 3493, 3544, 3549, 3637, 3639, 3643, 3708, 3710, 3741, 3780, 3792, 3793, 3805, 3811, 3825, 3826, 3848, 3860, 3924, 3944, 3955, 3957, 3965, 3967, 3972, 4011, 4014, 4020, 4037, 5058, 5200, 5227, 5238, 5242, 5875, 5899, 5911, 6170, 6208, 6216, 6219, 6260, 6357, 6606, 6673]",0.000278,-0.090197,0.257770,0.128327,0.170940,-0.159264,0.117445,-0.179487,0.169363,-0.168851
7,"[1, 23, 26, 37, 95, 125, 170, 633, 688, 698, 700, 779, 813, 821, 834, 839, 905, 907, 924, 929, 941, 947, 950, 964, 967, 969, 983, 984, 987, 988, 990, 996, 1011, 1026, 1027, 1039, 1048, 1055, 1056, 1059, 1061, 1077, 1110, 1135, 1136, 1137, 1142, 1161, 1165, 1175, 1196, 1197, 1209, 1213, 1218, 1246, 1255, 1289, 1356, 1361, 1364, 1379, 1395, 1470, 1472, 1502, 1504, 1506, 1508, 1515, 1517, 1519, 1525, 1531, 1545, 1580, 1602, 1613, 1614, 1626, 1627, 1628, 1653, 1684, 1704, 1716, 1719, 1722, 1731, 1770, 2600, 2683, 2786, 2802, 2831, 2834, 2871, 2946, 3088, 3237, 3406, 3409, 3468, 3493, 3529, 3544, 3549, 3637, 3639, 3643, 3708, 3710, 3741, 3780, 3792, 3793, 3805, 3811, 3825, 3826, 3848, 3859, 3860, 3924, 3944, 3954, 3955, 3957, 3965, 3967, 3972, 4011, 4014, 4020, 4037, 5058, 5200, 5227, 5242, 5911, 6170, 6208, 6216, 6219, 6357, 6606]",0.000272,-0.111051,0.253849,0.111162,0.158863,-0.218664,0.113618,-0.206228,0.165159,-0.189482
8,"[1, 23, 26, 35, 37, 95, 125, 170, 574, 633, 688, 698, 779, 813, 821, 834, 839, 905, 907, 924, 929, 941, 947, 950, 964, 967, 969, 983, 984, 987, 988, 990, 996, 1011, 1026, 1027, 1039, 1048, 1055, 1059, 1061, 1077, 1110, 1135, 1136, 1139, 1142, 1161, 1165, 1196, 1197, 1209, 1213, 1218, 1246, 1289, 1356, 1361, 1364, 1379, 1395, 1415, 1453, 1470, 1472, 1502, 1504, 1506, 1515, 1517, 1519, 1525, 1531, 1545, 1580, 1602, 1613, 1614, 1626, 1627, 1628, 1653, 1684, 1704, 1716, 1719, 1722, 1731, 1770, 2600, 2683, 2786, 2802, 2831, 2871, 2946, 3088, 3237, 3406, 3409, 3468, 3493, 3529, 3549, 3637, 3639, 3643, 3708, 3710, 3741, 3780, 3792, 3793, 3805, 3811, 3825, 3848, 3859, 3860, 3924, 3944, 3954, 3955, 3957, 3965, 3967, 3972, 4011, 4014, 4020, 4037, 5058, 5200, 5227, 5238, 5242, 5875, 5911, 6170, 6208, 6216, 6219, 6260, 6357, 6606, 6673]",0.000278,-0.088411,0.253668,0.110370,0.161089,-0.207715,0.113388,-0.207831,0.163476,-0.197744
9,"[1, 23, 26, 35, 37, 95, 574, 633, 688, 698, 700, 779, 813, 821, 834, 905, 907, 924, 929, 941, 947, 950, 964, 967, 969, 983, 984, 987, 988, 990, 996, 1011, 1026, 1027, 1039, 1048, 1055, 1056, 1059, 1061, 1077, 1110, 1135, 1136, 1137, 1139, 1142, 1161, 1165, 1175, 1196, 1197, 1209, 1213, 1218, 1246, 1255, 1289, 1356, 1364, 1379, 1395, 1415, 1453, 1470, 1502, 1504, 1506, 1508, 1515, 1517, 1519, 1525, 1531, 1545, 1613, 1614, 1626, 1627, 1628, 1653, 1684, 1704, 1716, 1719, 1722, 1731, 1770, 2600, 2683, 2786, 2802, 2831, 2834, 2871, 2946, 3088, 3237, 3406, 3409, 3468, 3493, 3529, 3544, 3549, 3637, 3639, 3643, 3708, 3710, 3741, 3780, 3792, 3793, 3805, 3811, 3825, 3826, 3848, 3859, 3860, 3924, 3944, 3954, 3955, 3957, 3965, 3967, 3972, 4011, 4014, 4037, 5058, 5200, 5227, 5238, 5242, 5875, 5899, 5911, 6170, 6208, 6216, 6219, 6357, 6606, 6673]",0.000278,-0.090859,0.255957,0.120389,0.169145,-0.168094,0.113102,-0.209834,0.167991,-0.175583
