,Vaccinated_Idxs,Fatality_Rate_Abs,Fatality_Rate_Rel,Age_Gini_Abs,Age_Gini_Rel,Income_Gini_Abs,Income_Gini_Rel,Occupation_Gini_Abs,Occupation_Gini_Rel,Minority_Gini_Abs,Minority_Gini_Rel
0,"[299, 621, 741, 758, 761, 787, 792, 815, 889, 909, 910, 986, 994, 1064, 1065, 1069, 1073, 1080, 1087, 1094, 1099, 1120, 1190, 1192, 1194, 1197, 1206, 1211, 1214, 1215, 1246, 1249, 1251, 1262, 1283, 1299, 1306, 1307, 1366, 1645, 1653, 1670, 1679, 1705, 1718, 1745, 1791, 1803, 1821, 1883, 1888, 1899, 1905, 1915, 1917, 1918, 1948, 2116, 2125, 2147, 2152, 2153, 2206, 2224, 2241, 2323, 2428, 2431, 2455, 2544, 2777, 2811, 3085, 3595, 3631, 3642, 3645, 3703, 3749, 3755, 3774, 3775, 3795, 3867, 3881, 3895, 3927, 3937, 3939, 3974, 3985, 4161, 4174, 4218, 4410, 4667, 4668, 4682, 4691, 4693, 4694, 4712, 4810]",0.000045,-0.069144,0.338160,-0.008931,0.132019,0.052319,0.122621,0.015729,0.189459,-0.080263
1,"[621, 638, 741, 815, 837, 870, 871, 889, 910, 929, 973, 986, 988, 994, 1064, 1065, 1073, 1080, 1087, 1093, 1120, 1151, 1167, 1190, 1192, 1194, 1206, 1211, 1213, 1215, 1237, 1246, 1249, 1251, 1256, 1267, 1268, 1270, 1283, 1292, 1296, 1299, 1306, 1307, 1366, 1645, 1653, 1705, 1727, 1745, 1791, 1803, 1821, 1883, 1888, 1899, 1905, 1917, 1918, 2041, 2136, 2147, 2221, 2224, 2244, 2254, 2323, 2428, 2440, 2455, 2488, 2544, 2938, 3324, 3595, 3642, 3703, 3732, 3749, 3775, 3795, 3848, 3867, 3927, 3937, 3979, 3985, 4161, 4166, 4174, 4254, 4410, 4670, 4691, 4693, 4694, 4712, 4723]",0.000046,-0.055246,0.335996,-0.015273,0.126447,0.007906,0.112470,-0.068362,0.192372,-0.066122
2,"[299, 638, 787, 792, 837, 870, 871, 889, 894, 909, 910, 940, 973, 985, 986, 988, 994, 1064, 1065, 1069, 1073, 1080, 1087, 1093, 1094, 1099, 1107, 1120, 1151, 1167, 1194, 1206, 1211, 1214, 1215, 1237, 1238, 1246, 1249, 1251, 1256, 1267, 1270, 1292, 1296, 1299, 1645, 1670, 1679, 1705, 1712, 1745, 1803, 1883, 1888, 1899, 1915, 1917, 1918, 1948, 1970, 2125, 2147, 2153, 2206, 2221, 2241, 2254, 2329, 2428, 2455, 2544, 2777, 2811, 2938, 3085, 3324, 3631, 3642, 3645, 3703, 3732, 3734, 3749, 3755, 3774, 3795, 3848, 3867, 3881, 3895, 3937, 3939, 3985, 4161, 4166, 4167, 4217, 4218, 4667, 4668, 4670, 4691, 4694, 4712, 4723, 4810]",0.000047,-0.033682,0.332324,-0.026036,0.118268,-0.057292,0.117741,-0.024702,0.191995,-0.067954
3,"[621, 638, 741, 758, 761, 787, 792, 815, 837, 859, 870, 890, 894, 909, 910, 929, 940, 973, 985, 988, 994, 1064, 1065, 1069, 1073, 1080, 1087, 1094, 1099, 1107, 1120, 1151, 1190, 1192, 1194, 1197, 1211, 1214, 1215, 1237, 1246, 1247, 1249, 1251, 1256, 1268, 1283, 1296, 1299, 1328, 1366, 1679, 1705, 1718, 1727, 1745, 1791, 1803, 1883, 1888, 1905, 1918, 1948, 1970, 2041, 2116, 2125, 2136, 2147, 2152, 2153, 2206, 2221, 2244, 2254, 2428, 2431, 2440, 2455, 2544, 2777, 2938, 3085, 3324, 3645, 3703, 3732, 3734, 3749, 3755, 3774, 3775, 3848, 3867, 3881, 3927, 3939, 3974, 4167, 4174, 4218, 4410, 4667, 4668, 4682, 4691, 4693, 4694, 4712, 4810]",0.000045,-0.068448,0.335340,-0.017197,0.127629,0.017325,0.118476,-0.018608,0.189289,-0.081090
4,"[299, 621, 638, 741, 758, 787, 792, 837, 870, 871, 890, 909, 910, 929, 940, 973, 985, 986, 988, 994, 1069, 1073, 1080, 1087, 1094, 1099, 1107, 1120, 1151, 1167, 1190, 1197, 1211, 1213, 1214, 1215, 1237, 1246, 1251, 1256, 1262, 1267, 1270, 1292, 1296, 1299, 1306, 1366, 1645, 1653, 1670, 1705, 1712, 1745, 1791, 1803, 1821, 1883, 1888, 1899, 1905, 1915, 1917, 1948, 1957, 1970, 2116, 2125, 2136, 2152, 2153, 2206, 2241, 2323, 2329, 2428, 2431, 2440, 2455, 2544, 2777, 2811, 3085, 3324, 3631, 3642, 3645, 3703, 3732, 3749, 3774, 3775, 3848, 3867, 3881, 3895, 3927, 3937, 3939, 3974, 3985, 4161, 4167, 4174, 4254, 4410, 4667, 4670, 4693, 4712, 4723]",0.000045,-0.072048,0.333408,-0.022859,0.121356,-0.032675,0.118619,-0.017427,0.196030,-0.048366
5,"[14, 16, 38, 40, 64, 65, 126, 133, 160, 161, 408, 411, 454, 599, 738, 742, 816, 868, 891, 896, 907, 1058, 1090, 1097, 1113, 1203, 1212, 1255, 1271, 1272, 1276, 1583, 1702, 1714, 1864, 1947, 1949, 1952, 2001, 2098, 2201, 2258, 2284, 2413, 2429, 2435, 2441, 2442, 2443, 2444, 2448, 2453, 2520, 3080, 3086, 3177, 3190, 3217, 3323, 3568, 3594, 3651, 3701, 3709, 3712, 3721, 3726, 3738, 3771, 3773, 3777, 3778, 3779, 3787, 3791, 3879, 3947, 4048, 4148, 4160, 4411, 4686, 4690, 4699, 4762, 4763, 4764, 4765, 4790]",0.000045,-0.061789,0.339488,-0.005040,0.122399,-0.024362,0.117868,-0.023645,0.193645,-0.059945
6,"[14, 16, 38, 40, 64, 65, 126, 133, 160, 161, 408, 411, 454, 599, 738, 742, 816, 868, 891, 896, 907, 1058, 1090, 1097, 1113, 1203, 1212, 1255, 1271, 1272, 1276, 1583, 1702, 1714, 1947, 1949, 1952, 2001, 2098, 2201, 2258, 2284, 2413, 2429, 2435, 2441, 2442, 2443, 2444, 2448, 2453, 2520, 3080, 3086, 3099, 3177, 3190, 3217, 3323, 3568, 3594, 3651, 3701, 3709, 3712, 3721, 3726, 3738, 3771, 3773, 3777, 3778, 3779, 3787, 3791, 3879, 3912, 3947, 4048, 4148, 4160, 4411, 4686, 4690, 4699, 4762, 4763, 4764, 4765, 4790]",0.000045,-0.068138,0.341694,0.001426,0.125141,-0.002509,0.108541,-0.100906,0.199387,-0.032067
7,"[14, 16, 38, 40, 64, 65, 126, 133, 161, 408, 411, 454, 599, 738, 742, 816, 868, 891, 896, 907, 1058, 1090, 1097, 1113, 1203, 1212, 1255, 1271, 1272, 1276, 1583, 1702, 1714, 1864, 1947, 1949, 1952, 2001, 2098, 2201, 2258, 2284, 2413, 2429, 2435, 2441, 2442, 2443, 2444, 2453, 2520, 3080, 3086, 3099, 3177, 3190, 3217, 3323, 3568, 3594, 3651, 3701, 3709, 3712, 3721, 3726, 3738, 3771, 3773, 3777, 3778, 3779, 3787, 3791, 3879, 3912, 3947, 4048, 4148, 4160, 4411, 4686, 4690, 4699, 4762, 4763, 4764, 4765]",0.000045,-0.064808,0.338045,-0.009268,0.121225,-0.033717,0.120843,0.000996,0.199901,-0.029575
8,"[14, 16, 38, 40, 64, 65, 126, 133, 160, 161, 408, 454, 599, 738, 742, 816, 868, 891, 896, 907, 1058, 1090, 1097, 1113, 1203, 1212, 1255, 1271, 1272, 1276, 1583, 1702, 1714, 1864, 1947, 1949, 1952, 2001, 2098, 2201, 2258, 2284, 2413, 2429, 2435, 2441, 2442, 2443, 2444, 2448, 2453, 2520, 3080, 3086, 3099, 3177, 3190, 3217, 3323, 3568, 3594, 3651, 3701, 3709, 3712, 3721, 3726, 3738, 3771, 3773, 3777, 3778, 3779, 3787, 3791, 3879, 3912, 3947, 4048, 4148, 4160, 4411, 4686, 4690, 4699, 4762, 4763, 4764, 4765, 4790]",0.000046,-0.058033,0.344890,0.010794,0.114661,-0.086042,0.114688,-0.049989,0.196301,-0.047052
9,"[14, 38, 40, 64, 65, 126, 133, 160, 161, 408, 411, 454, 599, 738, 742, 816, 868, 896, 907, 1058, 1090, 1097, 1113, 1203, 1212, 1255, 1271, 1272, 1276, 1583, 1702, 1714, 1864, 1947, 1949, 1952, 2001, 2098, 2201, 2258, 2284, 2413, 2429, 2441, 2442, 2443, 2444, 2448, 2453, 2520, 3080, 3086, 3099, 3177, 3190, 3217, 3323, 3568, 3594, 3651, 3701, 3709, 3712, 3721, 3726, 3738, 3771, 3773, 3777, 3778, 3779, 3787, 3791, 3879, 3912, 3947, 4048, 4148, 4160, 4411, 4686, 4690, 4699, 4762, 4763, 4764, 4765, 4790]",0.000045,-0.079172,0.341231,0.000068,0.122622,-0.022586,0.116654,-0.033700,0.196534,-0.045918
