,Vaccinated_Idxs,Fatality_Rate_Abs,Fatality_Rate_Rel,Age_Gini_Abs,Age_Gini_Rel,Income_Gini_Abs,Income_Gini_Rel,Occupation_Gini_Abs,Occupation_Gini_Rel,Minority_Gini_Abs,Minority_Gini_Rel
0,"[308, 318, 481, 530, 559, 560, 754, 758, 802, 805, 826, 839, 848, 861, 862, 873, 890, 946, 974, 1006, 1009, 1048, 1131, 1159, 1163, 1213, 1269, 1332, 1347, 1358, 1426, 1546, 1571, 1706, 1867, 1873, 1879, 1945, 1958, 2060, 2090, 2093, 2096, 2126, 2168, 2184, 2188, 2210, 2352, 2363, 2432, 2507, 2522, 2529, 2642, 2644, 2645, 2648, 2672, 2676, 2904, 3285]",0.000042,0.013508,0.313840,-0.009072,0.073740,-0.006364,0.116251,-0.108998,0.112909,0.034838
1,"[213, 263, 296, 481, 559, 560, 805, 826, 856, 861, 866, 873, 890, 934, 935, 946, 971, 1006, 1009, 1048, 1067, 1131, 1159, 1163, 1264, 1269, 1332, 1339, 1358, 1415, 1427, 1463, 1476, 1482, 1546, 1706, 1839, 1879, 1908, 1919, 1943, 1945, 2060, 2168, 2185, 2188, 2216, 2352, 2363, 2446, 2507, 2522, 2642, 2644, 2645, 2648, 2672, 2676, 2860, 2904, 3285]",0.000041,-0.000723,0.321737,0.015862,0.065496,-0.117446,0.114896,-0.119386,0.124501,0.141087
2,"[213, 263, 296, 318, 481, 530, 560, 754, 802, 805, 826, 827, 858, 861, 862, 866, 873, 890, 934, 935, 946, 971, 1006, 1048, 1067, 1131, 1136, 1159, 1163, 1264, 1269, 1327, 1332, 1339, 1347, 1358, 1376, 1415, 1482, 1571, 1706, 1867, 1873, 1879, 1908, 1936, 1939, 1943, 1958, 2060, 2090, 2094, 2096, 2168, 2185, 2188, 2192, 2216, 2432, 2522, 2529, 2642, 2644, 2645, 2648, 2672, 2676, 2860, 2904]",0.000041,-0.014119,0.324904,0.025862,0.063387,-0.145876,0.125049,-0.041569,0.121481,0.113404
3,"[296, 308, 318, 530, 560, 758, 826, 827, 848, 856, 861, 862, 866, 890, 934, 946, 1009, 1136, 1197, 1264, 1269, 1332, 1339, 1347, 1358, 1376, 1415, 1427, 1463, 1476, 1546, 1571, 1867, 1879, 1908, 1936, 1939, 1943, 2075, 2090, 2093, 2126, 2168, 2184, 2185, 2188, 2192, 2210, 2352, 2363, 2446, 2515, 2522, 2644, 2645, 2648, 2676, 2860, 2904, 3285]",0.000042,0.009116,0.325377,0.027354,0.076254,0.027514,0.118696,-0.090256,0.118718,0.088084
4,"[213, 263, 296, 308, 530, 559, 754, 758, 802, 805, 826, 827, 855, 858, 934, 946, 971, 974, 1006, 1009, 1048, 1131, 1159, 1163, 1197, 1213, 1264, 1269, 1347, 1358, 1415, 1476, 1482, 1546, 1571, 1706, 1867, 1879, 1908, 1919, 1936, 1939, 1943, 1958, 2060, 2075, 2090, 2093, 2094, 2096, 2184, 2185, 2192, 2210, 2216, 2363, 2432, 2515, 2529, 2644, 2645, 2676]",0.000042,0.009283,0.330028,0.042040,0.063347,-0.146416,0.117894,-0.096407,0.122877,0.126203
5,"[7, 28, 96, 115, 172, 210, 217, 226, 237, 240, 294, 469, 582, 587, 634, 641, 651, 682, 799, 804, 816, 835, 845, 854, 899, 910, 911, 925, 985, 1035, 1045, 1164, 1173, 1185, 1200, 1223, 1274, 1276, 1292, 1293, 1330, 1393, 1448, 1511, 1627, 1659, 1786, 2112, 2431, 2471, 2483, 2500, 2555, 2766, 2861, 2985, 3057, 3072, 3084, 3091, 3118, 3224, 3225, 3266, 3269, 3270, 3273, 3287]",0.000040,-0.023402,0.327395,0.033725,0.062195,-0.161928,0.114358,-0.123506,0.129461,0.186543
6,"[7, 28, 96, 115, 172, 210, 217, 226, 237, 240, 294, 380, 469, 587, 634, 641, 651, 682, 799, 804, 816, 835, 841, 845, 854, 892, 899, 910, 911, 925, 985, 1035, 1045, 1143, 1164, 1173, 1185, 1200, 1223, 1274, 1276, 1292, 1293, 1393, 1448, 1511, 1627, 1659, 1786, 2112, 2431, 2471, 2483, 2500, 2555, 2766, 2861, 2985, 3057, 3072, 3084, 3091, 3224, 3225, 3266, 3269, 3270, 3273, 3287]",0.000039,-0.043191,0.326731,0.031628,0.071678,-0.034156,0.117770,-0.097359,0.126086,0.155608
7,"[7, 28, 96, 115, 172, 210, 217, 226, 237, 240, 294, 380, 469, 582, 587, 634, 641, 651, 682, 799, 804, 816, 835, 841, 845, 854, 892, 899, 910, 911, 925, 985, 1035, 1045, 1143, 1164, 1173, 1200, 1223, 1274, 1276, 1292, 1293, 1330, 1393, 1448, 1511, 1627, 1659, 1786, 2112, 2431, 2471, 2483, 2500, 2555, 2766, 2861, 2985, 3057, 3072, 3084, 3091, 3118, 3224, 3266, 3269, 3270, 3273, 3287]",0.000040,-0.020011,0.335475,0.059237,0.062525,-0.157480,0.114710,-0.120812,0.129790,0.189562
8,"[7, 28, 96, 115, 172, 210, 217, 226, 237, 240, 294, 380, 469, 582, 587, 634, 641, 651, 682, 799, 816, 835, 841, 845, 854, 892, 899, 910, 911, 925, 985, 1035, 1045, 1143, 1164, 1173, 1185, 1200, 1223, 1274, 1276, 1292, 1293, 1330, 1393, 1448, 1511, 1627, 1659, 1786, 2112, 2431, 2471, 2483, 2500, 2555, 2766, 2861, 2985, 3057, 3072, 3084, 3091, 3118, 3224, 3225, 3266, 3269, 3270, 3287]",0.000040,-0.037132,0.330715,0.044207,0.056864,-0.233769,0.106306,-0.185219,0.130575,0.196752
9,"[7, 28, 96, 115, 172, 210, 217, 226, 237, 240, 294, 380, 582, 587, 634, 641, 651, 682, 799, 804, 816, 835, 841, 845, 854, 892, 899, 910, 911, 925, 985, 1035, 1045, 1143, 1164, 1173, 1185, 1200, 1223, 1274, 1276, 1292, 1293, 1448, 1511, 1627, 1659, 1786, 2112, 2431, 2471, 2483, 2500, 2555, 2766, 2861, 2985, 3057, 3072, 3084, 3091, 3118, 3224, 3225, 3266, 3269, 3270, 3287]",0.000040,-0.023847,0.334495,0.056143,0.065948,-0.111355,0.109129,-0.163585,0.126637,0.160658
