,Vaccinated_Idxs,Fatality_Rate_Abs,Fatality_Rate_Rel,Age_Gini_Abs,Age_Gini_Rel,Income_Gini_Abs,Income_Gini_Rel,Occupation_Gini_Abs,Occupation_Gini_Rel,Minority_Gini_Abs,Minority_Gini_Rel
0,"[76, 194, 213, 227, 238, 454, 486, 682, 1020, 1299, 1338, 1339, 1358, 1359, 1457, 1641, 1647, 1650, 1667, 1683, 1691, 1727, 1733, 1737, 1743, 1746, 1766, 1774, 1779, 1809, 1812, 1813, 1814, 1822, 1823, 1824, 1832, 1850, 1859, 1864, 1865, 1884, 1889, 1907, 1918, 1919, 1944, 1956, 1986, 2009, 2012, 2021, 2022, 2026, 2035, 2036, 2038, 2040, 2041, 2050, 2051, 2062, 2064, 2074, 2087, 2089, 2104, 2121, 2123, 2126, 2129, 2130, 2132, 2134, 2502, 2505, 2514, 2515, 2795, 2922, 2933, 2936, 2944, 2945, 2947, 2952, 2955, 3063, 3234, 3524, 3555, 3983, 4219, 4253, 4265, 4269, 4283, 4286, 4290, 4306, 4316, 4343, 4348, 4351, 4362, 4363, 4381, 4390, 4416, 4427, 4499, 4503, 4520, 4548, 4551, 4553, 4556, 4558, 4563, 4578, 4585, 4592, 4599, 4603, 4607, 4609, 4616, 4900, 5023, 5028, 5032, 5036, 5038, 5044, 5058, 5121, 5178, 5179, 5269, 5274, 5275, 5277, 5285, 5323, 5346, 5347, 5348, 5397, 5399, 5408, 5423, 5444, 5488, 5550, 5597, 5615, 6240, 6245, 6246, 6251, 6255, 6276, 6279, 6429, 6518, 6522, 6523, 6605, 7392, 7408, 7409, 7440, 7458, 7607, 7707, 7728, 7733, 7844, 8014, 8229, 8248, 8388, 8389, 8453, 8457, 8513, 8516]",0.000105,-0.017732,0.238839,0.034503,0.108259,-0.099000,0.057135,-0.132903,0.040816,-0.317927
1,"[76, 192, 194, 213, 486, 1273, 1294, 1338, 1339, 1352, 1358, 1359, 1636, 1641, 1647, 1667, 1671, 1683, 1691, 1727, 1728, 1733, 1737, 1743, 1746, 1774, 1778, 1779, 1799, 1812, 1813, 1814, 1822, 1823, 1824, 1832, 1835, 1850, 1857, 1859, 1864, 1865, 1884, 1889, 1907, 1919, 1931, 1944, 2009, 2022, 2026, 2036, 2038, 2050, 2051, 2064, 2074, 2089, 2119, 2126, 2129, 2130, 2131, 2132, 2397, 2501, 2505, 2514, 2515, 2516, 2795, 2922, 2924, 2936, 2944, 2945, 2952, 2957, 3063, 3234, 3342, 3524, 3555, 3983, 4219, 4221, 4230, 4253, 4265, 4269, 4296, 4300, 4306, 4316, 4327, 4343, 4347, 4348, 4351, 4362, 4363, 4376, 4381, 4390, 4416, 4450, 4456, 4471, 4503, 4518, 4520, 4548, 4551, 4553, 4556, 4558, 4563, 4578, 4585, 4596, 4599, 4607, 4609, 4643, 4774, 4900, 4914, 5023, 5036, 5044, 5050, 5121, 5179, 5269, 5270, 5274, 5275, 5277, 5282, 5285, 5290, 5323, 5347, 5348, 5398, 5399, 5408, 5409, 5411, 5423, 5444, 5470, 5478, 5488, 5492, 5550, 5597, 5615, 6218, 6239, 6240, 6241, 6245, 6251, 6255, 6276, 6279, 6426, 6429, 6523, 6605, 7357, 7398, 7408, 7409, 7440, 7454, 7458, 7707, 7728, 7733, 7844, 8014, 8248, 8453, 8455, 8513]",0.000106,-0.002934,0.238689,0.033853,0.108936,-0.093362,0.057142,-0.132806,0.043763,-0.268666
2,"[192, 194, 213, 227, 238, 682, 1273, 1352, 1650, 1667, 1683, 1691, 1733, 1737, 1746, 1774, 1778, 1779, 1799, 1809, 1812, 1813, 1814, 1822, 1823, 1832, 1835, 1850, 1857, 1859, 1864, 1865, 1884, 1889, 1907, 1941, 1956, 1986, 2009, 2012, 2020, 2021, 2022, 2026, 2036, 2038, 2041, 2050, 2064, 2067, 2069, 2074, 2087, 2089, 2092, 2104, 2111, 2116, 2121, 2123, 2126, 2129, 2130, 2131, 2134, 2502, 2505, 2514, 2515, 2795, 2922, 2924, 2933, 2936, 2944, 2952, 2955, 2957, 3524, 3555, 4067, 4211, 4219, 4221, 4230, 4253, 4265, 4269, 4273, 4283, 4290, 4296, 4300, 4306, 4316, 4327, 4343, 4347, 4348, 4351, 4362, 4376, 4381, 4424, 4427, 4456, 4471, 4497, 4499, 4520, 4548, 4551, 4553, 4563, 4578, 4585, 4592, 4596, 4603, 4607, 4609, 4616, 4643, 4774, 4914, 5028, 5032, 5036, 5044, 5057, 5058, 5173, 5178, 5179, 5190, 5192, 5269, 5270, 5274, 5275, 5277, 5282, 5323, 5346, 5348, 5397, 5398, 5408, 5409, 5470, 5473, 5478, 5488, 5492, 5550, 5597, 5615, 6140, 6218, 6239, 6240, 6241, 6246, 6276, 6279, 6429, 6518, 6522, 6523, 6605, 7392, 7398, 7408, 7409, 7440, 7454, 7458, 7707, 7733, 7844, 8014, 8388, 8389, 8453, 8455, 8457, 8513, 8516]",0.000103,-0.036075,0.239897,0.039082,0.107983,-0.101294,0.056237,-0.146531,0.038697,-0.353334
3,"[192, 194, 238, 454, 682, 1020, 1273, 1294, 1338, 1339, 1352, 1358, 1359, 1457, 1636, 1641, 1667, 1671, 1683, 1691, 1733, 1746, 1766, 1778, 1779, 1799, 1801, 1809, 1813, 1822, 1824, 1832, 1835, 1850, 1859, 1865, 1889, 1918, 1919, 1931, 1944, 1956, 2009, 2020, 2021, 2022, 2035, 2036, 2038, 2040, 2041, 2054, 2064, 2067, 2069, 2074, 2087, 2089, 2092, 2104, 2116, 2119, 2121, 2126, 2129, 2130, 2131, 2132, 2134, 2397, 2501, 2502, 2505, 2516, 2795, 2922, 2924, 2933, 2936, 2944, 2945, 2947, 2952, 2955, 2957, 3063, 3342, 3524, 3539, 3965, 3983, 4067, 4221, 4230, 4253, 4265, 4283, 4286, 4290, 4296, 4300, 4316, 4348, 4362, 4363, 4390, 4416, 4424, 4427, 4450, 4456, 4499, 4518, 4520, 4548, 4551, 4556, 4558, 4563, 4578, 4592, 4603, 4607, 4643, 4774, 4914, 5028, 5036, 5038, 5044, 5050, 5057, 5058, 5121, 5173, 5179, 5192, 5269, 5274, 5275, 5282, 5285, 5323, 5347, 5348, 5397, 5398, 5408, 5409, 5423, 5444, 5470, 5478, 5488, 5492, 5550, 5615, 6140, 6218, 6239, 6245, 6246, 6251, 6255, 6265, 6279, 6426, 6429, 6522, 6523, 7357, 7392, 7408, 7409, 7440, 7458, 7733, 7844, 8014, 8229, 8248, 8388, 8453, 8455, 8457, 8513, 8516]",0.000105,-0.012071,0.236083,0.022563,0.104565,-0.129746,0.053591,-0.186686,0.035662,-0.404040
4,"[76, 194, 238, 486, 1273, 1294, 1338, 1339, 1352, 1358, 1636, 1641, 1650, 1667, 1671, 1683, 1691, 1727, 1728, 1737, 1743, 1766, 1774, 1778, 1779, 1801, 1809, 1812, 1813, 1822, 1823, 1832, 1835, 1850, 1852, 1857, 1859, 1861, 1864, 1884, 1889, 1907, 1918, 1919, 1931, 1956, 1986, 2009, 2021, 2022, 2026, 2036, 2038, 2040, 2050, 2051, 2054, 2062, 2067, 2069, 2087, 2089, 2092, 2116, 2123, 2126, 2129, 2130, 2132, 2397, 2501, 2502, 2515, 2795, 2922, 2924, 2933, 2936, 2944, 2945, 2947, 2952, 2957, 3234, 3524, 3539, 3555, 3965, 3983, 4067, 4219, 4221, 4230, 4269, 4273, 4286, 4290, 4296, 4306, 4316, 4347, 4348, 4351, 4363, 4416, 4424, 4427, 4450, 4456, 4471, 4499, 4503, 4518, 4520, 4548, 4551, 4553, 4558, 4563, 4578, 4585, 4592, 4603, 4609, 4900, 4914, 5023, 5028, 5032, 5036, 5038, 5050, 5058, 5121, 5173, 5178, 5190, 5192, 5269, 5270, 5274, 5275, 5277, 5285, 5290, 5323, 5346, 5348, 5397, 5399, 5408, 5409, 5411, 5444, 5470, 5473, 5488, 5491, 5492, 5550, 5597, 5615, 6239, 6240, 6246, 6265, 6276, 6426, 6429, 6518, 6522, 6523, 6605, 7357, 7398, 7408, 7409, 7440, 7454, 7458, 7607, 7728, 7733, 7844, 8248, 8388, 8389, 8453, 8457, 8513, 8516]",0.000105,-0.014267,0.238627,0.033584,0.116508,-0.030345,0.055283,-0.161013,0.042484,-0.290046
5,"[4, 55, 86, 91, 101, 102, 317, 410, 525, 527, 531, 585, 1010, 1289, 1302, 1325, 1343, 1362, 1406, 1714, 1723, 1744, 1781, 1788, 1811, 1816, 1817, 1827, 1880, 2011, 2018, 2023, 2027, 2037, 2039, 2044, 2048, 2049, 2055, 2057, 2078, 2080, 2081, 2084, 2086, 2090, 2097, 2108, 2124, 2127, 2135, 2136, 2138, 2139, 2140, 2142, 2197, 2199, 2314, 2491, 2927, 2959, 3090, 3100, 3220, 3489, 3530, 3550, 3652, 4011, 4165, 4183, 4190, 4203, 4222, 4231, 4288, 4324, 4355, 4371, 4372, 4383, 4408, 4410, 4415, 4418, 4431, 4443, 4522, 4552, 4561, 4564, 4568, 4584, 4593, 4608, 4614, 4645, 4646, 4701, 4800, 4883, 4895, 4911, 5046, 5260, 5280, 5291, 5292, 5298, 5316, 5322, 5327, 5477, 5480, 5481, 5484, 5487, 5493, 5496, 5534, 6126, 6132, 6135, 6137, 6145, 6146, 6157, 6165, 6169, 6171, 6216, 6220, 6252, 6264, 6271, 6330, 6379, 6515, 6519, 6590, 7124, 7156, 7157, 7448, 7589, 7660, 7684, 7798, 7875, 7879, 8325, 8327, 8328, 8531, 8602, 8612, 8615, 8840]",0.000103,-0.037040,0.254984,0.104433,0.090444,-0.247271,0.043952,-0.332975,0.041149,-0.312350
6,"[4, 55, 86, 91, 101, 102, 317, 410, 508, 525, 527, 531, 585, 1010, 1289, 1313, 1324, 1325, 1343, 1362, 1385, 1406, 1664, 1714, 1723, 1744, 1788, 1811, 1816, 1817, 1819, 1827, 1880, 1887, 1987, 2011, 2027, 2028, 2037, 2039, 2044, 2048, 2049, 2055, 2061, 2068, 2076, 2078, 2080, 2081, 2084, 2086, 2090, 2097, 2099, 2100, 2108, 2120, 2124, 2127, 2135, 2136, 2138, 2139, 2140, 2142, 2197, 2199, 2314, 2491, 2937, 2959, 3090, 3100, 3220, 3489, 3530, 3550, 3652, 4011, 4165, 4183, 4190, 4203, 4288, 4324, 4350, 4355, 4371, 4372, 4383, 4408, 4410, 4413, 4415, 4418, 4431, 4443, 4552, 4561, 4564, 4584, 4589, 4593, 4645, 4646, 4701, 4800, 4883, 4895, 4911, 5260, 5278, 5280, 5291, 5292, 5316, 5322, 5477, 5480, 5481, 5484, 5487, 5493, 5496, 5534, 6126, 6132, 6135, 6137, 6142, 6145, 6146, 6165, 6169, 6171, 6216, 6220, 6252, 6264, 6271, 6330, 6379, 6515, 6590, 7124, 7156, 7448, 7589, 7660, 7684, 7798, 7875, 7879, 8325, 8327, 8328, 8602, 8612, 8615, 8840]",0.000099,-0.072613,0.265468,0.149842,0.076846,-0.360440,0.035769,-0.457161,0.055451,-0.073345
7,"[4, 55, 91, 101, 102, 317, 508, 525, 527, 531, 585, 1010, 1289, 1302, 1312, 1313, 1325, 1343, 1362, 1385, 1406, 1664, 1714, 1723, 1756, 1788, 1811, 1816, 1817, 1819, 1827, 1880, 1887, 1984, 1987, 2011, 2018, 2023, 2027, 2028, 2044, 2048, 2049, 2055, 2057, 2061, 2068, 2076, 2080, 2081, 2084, 2086, 2090, 2097, 2099, 2108, 2120, 2124, 2127, 2135, 2136, 2138, 2139, 2140, 2142, 2197, 2314, 2491, 2927, 2937, 2959, 3090, 3489, 3530, 3550, 4030, 4165, 4183, 4190, 4203, 4222, 4231, 4310, 4324, 4350, 4355, 4371, 4372, 4383, 4408, 4410, 4413, 4415, 4418, 4431, 4438, 4443, 4522, 4552, 4564, 4568, 4584, 4589, 4593, 4608, 4614, 4645, 4646, 4701, 4800, 4842, 4895, 5046, 5278, 5279, 5280, 5291, 5292, 5298, 5316, 5322, 5327, 5477, 5480, 5481, 5484, 5487, 5493, 5496, 5534, 6126, 6132, 6135, 6137, 6142, 6145, 6146, 6157, 6165, 6169, 6171, 6216, 6220, 6252, 6264, 6271, 6330, 6379, 6441, 6515, 7124, 7156, 7157, 7448, 7589, 7684, 7798, 7879, 8325, 8327, 8328, 8531, 8602, 8612, 8615]",0.000100,-0.062747,0.257297,0.114449,0.085020,-0.292407,0.044044,-0.331574,0.047821,-0.200855
8,"[4, 55, 86, 91, 101, 102, 410, 508, 525, 527, 531, 1010, 1289, 1302, 1312, 1313, 1324, 1325, 1362, 1385, 1406, 1664, 1714, 1744, 1756, 1781, 1788, 1811, 1816, 1817, 1819, 1827, 1880, 1887, 1984, 1987, 2011, 2018, 2023, 2027, 2028, 2034, 2037, 2039, 2044, 2048, 2049, 2055, 2057, 2061, 2068, 2076, 2078, 2080, 2084, 2097, 2099, 2100, 2108, 2124, 2127, 2136, 2138, 2139, 2140, 2142, 2197, 2199, 2314, 2491, 2927, 2937, 2959, 3090, 3530, 3550, 3652, 4011, 4190, 4203, 4231, 4288, 4310, 4324, 4355, 4371, 4372, 4383, 4408, 4410, 4413, 4415, 4418, 4431, 4438, 4443, 4522, 4552, 4564, 4568, 4589, 4593, 4608, 4614, 4645, 4646, 4701, 4800, 4842, 4883, 4895, 4911, 5046, 5260, 5278, 5279, 5280, 5292, 5298, 5316, 5322, 5477, 5480, 5481, 5484, 5487, 5496, 5534, 6126, 6135, 6137, 6142, 6145, 6146, 6157, 6165, 6169, 6171, 6216, 6220, 6252, 6271, 6330, 6379, 6441, 6515, 6519, 6590, 7156, 7157, 7448, 7589, 7660, 7684, 7798, 7879, 8325, 8327, 8602, 8612, 8615, 8840]",0.000100,-0.061940,0.260971,0.130366,0.075379,-0.372644,0.037640,-0.428763,0.058220,-0.027078
9,"[4, 55, 91, 101, 102, 317, 410, 508, 527, 531, 585, 1010, 1302, 1312, 1313, 1324, 1325, 1343, 1362, 1385, 1406, 1664, 1714, 1723, 1744, 1756, 1781, 1811, 1817, 1819, 1827, 1887, 1984, 1987, 2011, 2018, 2023, 2028, 2034, 2037, 2039, 2044, 2049, 2055, 2057, 2068, 2076, 2080, 2081, 2084, 2086, 2090, 2097, 2099, 2100, 2120, 2124, 2135, 2136, 2138, 2139, 2140, 2142, 2197, 2199, 2314, 2491, 2927, 2937, 2959, 3090, 3100, 3220, 3530, 3550, 3652, 4011, 4030, 4165, 4183, 4190, 4203, 4222, 4288, 4324, 4350, 4355, 4371, 4372, 4383, 4408, 4410, 4413, 4415, 4431, 4522, 4552, 4561, 4564, 4568, 4584, 4589, 4593, 4608, 4614, 4645, 4701, 4800, 4842, 4883, 4895, 4911, 5046, 5260, 5278, 5280, 5291, 5292, 5298, 5316, 5322, 5327, 5477, 5480, 5481, 5484, 5487, 5493, 5496, 6126, 6132, 6137, 6142, 6145, 6146, 6157, 6165, 6169, 6216, 6220, 6252, 6264, 6271, 6330, 6379, 6515, 6590, 7124, 7448, 7589, 7660, 7684, 7798, 7879, 8325, 8327, 8328, 8531, 8602, 8612, 8615, 8840]",0.000099,-0.072446,0.257837,0.116788,0.075013,-0.375691,0.033443,-0.492468,0.055484,-0.072799
