,Vaccinated_Idxs,Fatality_Rate_Abs,Fatality_Rate_Rel,Age_Gini_Abs,Age_Gini_Rel,Income_Gini_Abs,Income_Gini_Rel,Occupation_Gini_Abs,Occupation_Gini_Rel,Minority_Gini_Abs,Minority_Gini_Rel
0,"[286, 294, 311, 314, 318, 356, 358, 396, 502, 526, 528, 529, 535, 806, 827, 1064, 1087, 1090, 1094, 1101, 1120, 1135, 1136, 1152, 1153, 1154, 1239, 1246, 1247, 1266, 1296, 1298, 1300, 1302, 1315, 1331, 1332, 1335, 1338, 1339, 1341, 1347, 1366, 1379, 1383, 1399, 1414, 1435, 1877, 2036, 2070, 2161, 2184, 2209, 2225, 2242, 2249, 2255, 2263, 2288, 2296, 2299, 2308, 2313, 2335, 2566, 2741, 2807, 2864, 3473]",0.000161,-0.027756,0.321782,0.025942,0.063765,-0.020537,0.038796,0.005641,0.125598,0.116876
1,"[286, 294, 311, 314, 318, 356, 358, 502, 525, 528, 529, 535, 806, 826, 827, 1064, 1087, 1090, 1094, 1101, 1120, 1135, 1136, 1144, 1152, 1154, 1239, 1246, 1247, 1260, 1261, 1266, 1296, 1298, 1315, 1331, 1335, 1338, 1339, 1341, 1347, 1366, 1377, 1379, 1383, 1399, 1414, 1435, 2036, 2070, 2161, 2184, 2209, 2225, 2242, 2249, 2255, 2257, 2282, 2288, 2299, 2313, 2335, 2566, 2741, 2807, 3473]",0.000163,-0.017700,0.320964,0.023333,0.058808,-0.096668,0.034831,-0.097150,0.131913,0.173026
2,"[286, 294, 314, 318, 356, 358, 396, 502, 525, 526, 528, 529, 535, 826, 1064, 1090, 1094, 1101, 1135, 1136, 1144, 1152, 1153, 1154, 1239, 1247, 1260, 1261, 1296, 1298, 1300, 1302, 1332, 1335, 1338, 1339, 1341, 1347, 1366, 1377, 1379, 1383, 1399, 1414, 1435, 1877, 2036, 2070, 2093, 2161, 2184, 2209, 2225, 2249, 2255, 2257, 2263, 2282, 2288, 2296, 2301, 2308, 2741, 2794, 2807, 2864, 3473]",0.000162,-0.021962,0.320970,0.023354,0.063846,-0.019293,0.037827,-0.019490,0.122378,0.088242
3,"[286, 294, 318, 356, 358, 396, 525, 526, 528, 529, 535, 806, 826, 827, 1064, 1087, 1090, 1094, 1101, 1120, 1135, 1136, 1144, 1153, 1154, 1239, 1246, 1247, 1260, 1261, 1266, 1296, 1298, 1300, 1302, 1315, 1331, 1332, 1335, 1338, 1339, 1341, 1347, 1366, 1377, 1379, 1383, 1399, 1877, 2036, 2070, 2093, 2161, 2209, 2225, 2255, 2257, 2263, 2282, 2288, 2299, 2301, 2308, 2313, 2335, 2741, 2794, 2807, 2864]",0.000160,-0.036598,0.321324,0.024482,0.060052,-0.077560,0.035453,-0.081035,0.129232,0.149193
4,"[286, 294, 314, 356, 358, 502, 525, 526, 528, 529, 806, 827, 1064, 1087, 1101, 1135, 1136, 1152, 1153, 1154, 1246, 1260, 1261, 1296, 1298, 1300, 1302, 1315, 1331, 1332, 1335, 1338, 1341, 1347, 1366, 1377, 1379, 1383, 1399, 1414, 1435, 1877, 2036, 2093, 2161, 2209, 2225, 2242, 2249, 2255, 2257, 2263, 2282, 2288, 2296, 2301, 2308, 2313, 2335, 2566, 2741, 2794, 2807, 2864, 3473]",0.000160,-0.033383,0.319878,0.019872,0.058570,-0.100339,0.038537,-0.001093,0.127084,0.130090
5,"[110, 192, 206, 210, 287, 299, 307, 308, 319, 362, 389, 587, 590, 611, 667, 692, 694, 779, 808, 960, 1057, 1060, 1083, 1089, 1116, 1117, 1150, 1244, 1245, 1292, 1293, 1316, 1320, 1324, 1325, 1400, 1418, 1420, 1893, 1894, 1982, 2158, 2261, 2297, 2304, 2312, 2560, 2713, 2746, 2791, 2796, 2806, 2808, 2817, 2865, 2870, 2899, 2900, 2902, 2918, 2957, 3134, 3174, 3175, 3487, 3518]",0.000157,-0.051265,0.327784,0.045080,0.057271,-0.120286,0.038841,0.006794,0.131964,0.173483
6,"[110, 192, 206, 210, 287, 299, 307, 308, 319, 362, 389, 587, 590, 667, 692, 694, 779, 808, 960, 1057, 1060, 1083, 1089, 1116, 1117, 1150, 1244, 1245, 1292, 1293, 1316, 1320, 1324, 1325, 1382, 1400, 1418, 1420, 1893, 1894, 1982, 2158, 2261, 2297, 2304, 2312, 2560, 2713, 2746, 2791, 2796, 2806, 2808, 2817, 2865, 2870, 2899, 2900, 2902, 2918, 2957, 3134, 3174, 3175, 3487, 3518]",0.000157,-0.054147,0.325275,0.037079,0.054897,-0.156752,0.034255,-0.112069,0.127266,0.131706
7,"[110, 192, 206, 210, 287, 299, 307, 308, 362, 389, 587, 590, 611, 667, 692, 694, 779, 808, 960, 1057, 1060, 1083, 1089, 1116, 1117, 1150, 1244, 1245, 1292, 1293, 1316, 1320, 1324, 1325, 1382, 1400, 1418, 1420, 1893, 1894, 1982, 2158, 2261, 2297, 2304, 2312, 2560, 2713, 2746, 2791, 2796, 2806, 2808, 2817, 2865, 2870, 2899, 2900, 2902, 2918, 2957, 3134, 3175, 3487, 3518]",0.000158,-0.048080,0.327761,0.045005,0.057424,-0.117928,0.032750,-0.151098,0.131547,0.169775
8,"[110, 192, 206, 210, 287, 299, 307, 308, 319, 362, 389, 587, 590, 611, 667, 692, 694, 779, 808, 960, 1057, 1060, 1083, 1089, 1116, 1117, 1150, 1244, 1245, 1292, 1293, 1316, 1320, 1324, 1325, 1382, 1400, 1418, 1420, 1893, 1894, 1982, 2158, 2261, 2297, 2304, 2312, 2560, 2713, 2746, 2791, 2796, 2808, 2817, 2865, 2870, 2899, 2900, 2902, 2957, 3134, 3174, 3175, 3487, 3518]",0.000158,-0.044925,0.319417,0.018403,0.056809,-0.127382,0.038957,0.009806,0.125412,0.115222
9,"[110, 192, 206, 210, 287, 299, 307, 308, 319, 362, 389, 587, 590, 611, 667, 692, 694, 779, 808, 960, 1057, 1060, 1083, 1089, 1116, 1117, 1150, 1244, 1292, 1293, 1316, 1320, 1324, 1325, 1382, 1400, 1420, 1893, 1894, 1982, 2158, 2261, 2297, 2304, 2312, 2560, 2713, 2746, 2791, 2796, 2806, 2808, 2817, 2865, 2870, 2899, 2900, 2902, 2918, 2957, 3134, 3174, 3175, 3487, 3518]",0.000157,-0.049688,0.325321,0.037225,0.057220,-0.121070,0.039540,0.024904,0.127002,0.129360
10,"[16, 170, 202, 221, 316, 391, 397, 401, 501, 511, 524, 530, 585, 753, 787, 823, 862, 871, 928, 1061, 1088, 1137, 1321, 1350, 1373, 1374, 1416, 1765, 1775, 2038, 2066, 2096, 2134, 2157, 2259, 2260, 2266, 2268, 2269, 2281, 2283, 2307, 2325, 2326, 2332, 2339, 2371, 2509, 2733, 2734, 2749, 2752, 2843, 2862, 2956, 2965, 3217, 3441, 3477, 3485, 3511, 3514, 3515]",0.000161,-0.025572,0.324145,0.033478,0.059375,-0.087969,0.046124,0.195584,0.129714,0.153475
11,"[16, 170, 202, 221, 316, 391, 401, 501, 511, 524, 530, 585, 674, 753, 787, 823, 862, 871, 928, 1061, 1088, 1137, 1321, 1350, 1373, 1374, 1416, 1765, 1775, 2016, 2038, 2066, 2096, 2134, 2157, 2259, 2260, 2266, 2268, 2269, 2281, 2283, 2307, 2325, 2326, 2332, 2339, 2371, 2509, 2710, 2733, 2734, 2749, 2752, 2843, 2862, 2956, 2965, 3217, 3441, 3477, 3485, 3511, 3514, 3515]",0.000160,-0.032458,0.319911,0.019976,0.064224,-0.013484,0.046409,0.202966,0.125248,0.113764
12,"[16, 170, 202, 221, 316, 391, 397, 401, 501, 511, 524, 530, 585, 674, 753, 787, 823, 862, 871, 928, 1061, 1088, 1137, 1321, 1350, 1373, 1374, 1416, 1765, 1775, 2016, 2038, 2066, 2096, 2134, 2157, 2259, 2260, 2266, 2268, 2269, 2281, 2307, 2325, 2326, 2332, 2339, 2371, 2509, 2710, 2733, 2734, 2749, 2752, 2843, 2862, 2956, 2965, 3217, 3477, 3485, 3511, 3514, 3515]",0.000161,-0.026649,0.322569,0.028451,0.064999,-0.001575,0.047121,0.221415,0.127887,0.137233
