,Vaccinated_Idxs,Fatality_Rate_Abs,Fatality_Rate_Rel,Age_Gini_Abs,Age_Gini_Rel,Income_Gini_Abs,Income_Gini_Rel,Occupation_Gini_Abs,Occupation_Gini_Rel,Minority_Gini_Abs,Minority_Gini_Rel
0,"[33, 74, 86, 195, 650, 671, 779, 783, 787, 795, 806, 815, 821, 823, 827, 828, 832, 834, 837, 839, 860, 1034, 1078, 1112, 1183, 1229, 1456, 1457, 1631, 2122, 2203, 2205, 2207, 2210, 2261, 2281, 2285, 2289, 2409, 2608, 2616, 2941, 2947, 2953, 2955, 3370, 3383, 3442, 3462, 3470, 3471, 3530, 3536, 3548, 3553, 3569, 3577, 3614, 3623, 3625, 3684, 3728, 3742, 3753, 3769, 3783, 3793, 3801, 3831, 3833, 3842, 3846, 3847, 3850, 3878, 3885, 3892, 3894, 3898, 3903, 3916, 4004, 4005, 4018, 4083, 4130, 4159, 4166, 4176, 4179, 4190, 4191, 4192, 4197, 4198, 4211, 4215, 4221, 4224, 4227, 4231, 4237, 4273, 4289, 4319, 4334, 4337, 4342, 4558]",0.000482,-0.033125,0.150856,0.153952,0.463926,-0.012664,0.307097,-0.038766,0.386790,-0.036166
1,"[50, 67, 71, 86, 98, 173, 177, 183, 196, 650, 651, 779, 783, 787, 788, 789, 793, 806, 808, 815, 816, 830, 831, 833, 836, 860, 1078, 1123, 1406, 1456, 1457, 1566, 2024, 2122, 2195, 2203, 2205, 2210, 2214, 2280, 2409, 2414, 2955, 2957, 3207, 3262, 3370, 3378, 3432, 3439, 3442, 3443, 3465, 3470, 3494, 3551, 3555, 3560, 3565, 3569, 3572, 3577, 3587, 3588, 3614, 3615, 3618, 3621, 3714, 3769, 3777, 3783, 3787, 3793, 3836, 3837, 3845, 3846, 3847, 3851, 3878, 3880, 3887, 3890, 3900, 3916, 4001, 4004, 4013, 4020, 4021, 4083, 4121, 4123, 4176, 4179, 4184, 4185, 4189, 4210, 4212, 4215, 4221, 4226, 4227, 4243, 4279, 4334, 4518, 4536, 4557]",0.000487,-0.022867,0.148539,0.136229,0.467529,-0.004997,0.312858,-0.020733,0.394131,-0.017872
2,"[22, 33, 50, 67, 77, 88, 98, 173, 195, 650, 651, 789, 790, 796, 798, 811, 815, 816, 823, 830, 834, 836, 860, 1112, 1457, 2024, 2126, 2195, 2205, 2207, 2210, 2261, 2280, 2301, 2380, 2394, 2409, 2616, 2650, 2941, 2953, 2955, 3207, 3262, 3370, 3378, 3383, 3439, 3443, 3447, 3457, 3470, 3536, 3560, 3563, 3565, 3572, 3614, 3621, 3626, 3684, 3707, 3728, 3753, 3769, 3773, 3777, 3780, 3793, 3831, 3837, 3841, 3842, 3843, 3849, 3872, 3873, 3884, 3885, 3900, 3903, 3916, 4001, 4005, 4018, 4083, 4121, 4163, 4171, 4176, 4179, 4180, 4184, 4185, 4187, 4190, 4191, 4210, 4211, 4221, 4224, 4226, 4231, 4243, 4277, 4279, 4287, 4337, 4537, 4557, 4558]",0.000479,-0.039583,0.151635,0.159914,0.461792,-0.017207,0.305690,-0.043168,0.387491,-0.034419
3,"[33, 66, 67, 88, 98, 99, 195, 671, 779, 783, 787, 790, 794, 803, 806, 811, 816, 823, 828, 831, 834, 836, 837, 1034, 1078, 1135, 1192, 1407, 1455, 1456, 1496, 1566, 2024, 2126, 2205, 2210, 2261, 2280, 2281, 2285, 2289, 2372, 2379, 2380, 2414, 2616, 2650, 2941, 2957, 3262, 3378, 3383, 3414, 3439, 3442, 3457, 3470, 3536, 3548, 3553, 3555, 3557, 3569, 3572, 3618, 3623, 3626, 3714, 3773, 3777, 3780, 3787, 3801, 3839, 3841, 3843, 3846, 3851, 3853, 3857, 3873, 3887, 3888, 3892, 3898, 3913, 3998, 4005, 4018, 4083, 4171, 4191, 4192, 4199, 4204, 4211, 4215, 4224, 4226, 4231, 4232, 4244, 4274, 4287, 4289, 4294, 4319, 4536, 4557, 4558]",0.000485,-0.026347,0.150425,0.150658,0.462355,-0.016007,0.308875,-0.033201,0.388300,-0.032402
4,"[67, 77, 88, 95, 97, 173, 539, 651, 779, 787, 789, 794, 796, 798, 808, 811, 816, 823, 827, 828, 830, 840, 1135, 1455, 1456, 1457, 1566, 1631, 2203, 2207, 2209, 2261, 2280, 2285, 2380, 2381, 2394, 2409, 2608, 2616, 2650, 2941, 2947, 2957, 3262, 3378, 3383, 3442, 3462, 3465, 3470, 3471, 3493, 3548, 3550, 3551, 3555, 3560, 3563, 3587, 3614, 3615, 3618, 3623, 3625, 3684, 3728, 3777, 3783, 3836, 3839, 3842, 3847, 3849, 3857, 3876, 3878, 3884, 3885, 3887, 3888, 3892, 3894, 3898, 3899, 3900, 3903, 3918, 4001, 4083, 4121, 4163, 4171, 4172, 4173, 4176, 4187, 4189, 4192, 4197, 4198, 4204, 4210, 4221, 4231, 4243, 4244, 4255, 4277, 4289, 4342]",0.000483,-0.030668,0.150831,0.153762,0.464314,-0.011839,0.307761,-0.036688,0.388630,-0.031581
5,"[48, 51, 52, 100, 206, 352, 822, 824, 859, 924, 1081, 1120, 1121, 2194, 2283, 2287, 2373, 2374, 2617, 2618, 2948, 3191, 3367, 3411, 3433, 3436, 3440, 3445, 3451, 3504, 3509, 3533, 3545, 3568, 3581, 3583, 3586, 3603, 3605, 3612, 3616, 3628, 3629, 3638, 3639, 3654, 3665, 3680, 3704, 3711, 3721, 3723, 3727, 3744, 3747, 3778, 3779, 3785, 3786, 3796, 3799, 3818, 3824, 3826, 3830, 3835, 3856, 3879, 3882, 3889, 3891, 3893, 3896, 3904, 3906, 3914, 3923, 3936, 4034, 4038, 4096, 4116, 4134, 4135, 4144, 4148, 4157, 4168, 4170, 4175, 4181, 4183, 4195, 4216, 4223, 4236, 4245, 4297, 4336, 4382, 4505, 4517, 4535, 4548, 4555, 4561]",0.000460,-0.077491,0.175198,0.340156,0.447454,-0.047722,0.294742,-0.077436,0.369889,-0.078281
6,"[48, 51, 52, 100, 206, 352, 786, 822, 824, 859, 1081, 1119, 1120, 1121, 2158, 2194, 2287, 2373, 2374, 2617, 2649, 3367, 3371, 3411, 3433, 3440, 3444, 3445, 3451, 3504, 3533, 3545, 3568, 3581, 3583, 3586, 3603, 3605, 3612, 3616, 3619, 3628, 3638, 3639, 3665, 3680, 3704, 3711, 3721, 3723, 3727, 3744, 3747, 3778, 3785, 3786, 3796, 3799, 3818, 3824, 3826, 3830, 3835, 3856, 3877, 3879, 3882, 3889, 3891, 3893, 3896, 3904, 3906, 3923, 3936, 4032, 4034, 4038, 4096, 4116, 4134, 4135, 4144, 4148, 4153, 4156, 4157, 4168, 4170, 4175, 4181, 4183, 4216, 4222, 4236, 4245, 4297, 4336, 4382, 4505, 4535, 4548, 4555, 4561]",0.000459,-0.078003,0.173389,0.326315,0.449350,-0.043685,0.295952,-0.073650,0.370695,-0.076274
7,"[48, 51, 52, 206, 352, 786, 822, 824, 859, 924, 1081, 1119, 1120, 2158, 2194, 2283, 2287, 2373, 2617, 2618, 2649, 2948, 3367, 3371, 3411, 3433, 3444, 3445, 3451, 3504, 3509, 3533, 3545, 3568, 3586, 3605, 3612, 3616, 3619, 3628, 3629, 3638, 3654, 3680, 3704, 3721, 3723, 3727, 3744, 3778, 3779, 3785, 3796, 3799, 3818, 3824, 3830, 3835, 3856, 3877, 3879, 3882, 3889, 3891, 3893, 3896, 3904, 3906, 3911, 3914, 3923, 3936, 4032, 4034, 4038, 4096, 4116, 4134, 4135, 4148, 4153, 4156, 4157, 4170, 4175, 4181, 4183, 4195, 4216, 4222, 4223, 4245, 4261, 4297, 4336, 4505, 4517, 4535, 4548, 4555, 4561]",0.000464,-0.069222,0.172554,0.319927,0.451531,-0.039044,0.297522,-0.068736,0.371020,-0.075462
8,"[48, 51, 52, 100, 206, 824, 924, 1081, 1119, 1120, 2158, 2194, 2287, 2373, 2374, 2617, 2649, 2948, 3367, 3371, 3411, 3433, 3436, 3440, 3444, 3445, 3451, 3509, 3533, 3545, 3568, 3581, 3583, 3586, 3603, 3605, 3612, 3616, 3619, 3628, 3629, 3638, 3639, 3654, 3665, 3680, 3704, 3723, 3727, 3744, 3747, 3778, 3779, 3785, 3786, 3796, 3824, 3830, 3835, 3856, 3877, 3879, 3882, 3891, 3893, 3904, 3911, 3914, 3936, 4032, 4034, 4038, 4096, 4116, 4135, 4144, 4148, 4153, 4156, 4157, 4168, 4170, 4175, 4181, 4183, 4195, 4216, 4223, 4236, 4245, 4261, 4297, 4336, 4382, 4505, 4517, 4535, 4555, 4561]",0.000465,-0.067363,0.168389,0.288070,0.450379,-0.041496,0.298247,-0.066467,0.374477,-0.066848
9,"[51, 52, 100, 786, 822, 824, 859, 924, 1081, 1121, 2158, 2194, 2373, 2374, 2618, 2649, 2948, 3191, 3367, 3371, 3411, 3433, 3440, 3445, 3451, 3504, 3509, 3545, 3568, 3583, 3586, 3603, 3605, 3612, 3616, 3619, 3628, 3629, 3639, 3654, 3665, 3704, 3711, 3721, 3723, 3744, 3747, 3778, 3779, 3785, 3786, 3796, 3799, 3818, 3824, 3826, 3830, 3835, 3856, 3877, 3879, 3882, 3889, 3891, 3893, 3896, 3906, 3911, 3914, 3923, 3936, 4032, 4034, 4038, 4116, 4134, 4135, 4144, 4148, 4153, 4156, 4157, 4168, 4170, 4175, 4181, 4183, 4195, 4216, 4222, 4223, 4236, 4245, 4261, 4297, 4336, 4382, 4505, 4517, 4535, 4548, 4555, 4561]",0.000464,-0.069133,0.170189,0.301839,0.450227,-0.041820,0.295427,-0.075292,0.372200,-0.072523
