,Vaccinated_Idxs,Fatality_Rate_Abs,Fatality_Rate_Rel,Age_Gini_Abs,Age_Gini_Rel,Income_Gini_Abs,Income_Gini_Rel,Occupation_Gini_Abs,Occupation_Gini_Rel,Minority_Gini_Abs,Minority_Gini_Rel
0,"[35, 53, 134, 138, 144, 156, 160, 165, 210, 238, 245, 256, 257, 274, 276, 282, 425, 575, 595, 603, 671, 839, 1057, 1059, 1060, 1111, 1232, 1237, 1512, 1519, 1525, 1543, 1562, 1582, 1792, 1800, 2336, 2337, 2362, 2735, 2882, 2930, 2931]",0.000041,-0.016908,0.294176,0.015637,0.254679,-0.044730,0.092352,0.070847,0.197517,-0.025530
1,"[35, 48, 53, 134, 138, 144, 156, 160, 165, 210, 238, 242, 245, 256, 257, 261, 274, 276, 282, 425, 575, 595, 603, 671, 1057, 1059, 1060, 1111, 1231, 1232, 1237, 1512, 1519, 1525, 1543, 1562, 1582, 1792, 1800, 2336, 2337, 2362, 2735, 2882, 2930, 2931]",0.000040,-0.022544,0.295107,0.018851,0.258188,-0.031569,0.104638,0.213303,0.204371,0.008286
2,"[48, 53, 138, 156, 165, 210, 238, 242, 245, 256, 261, 274, 276, 282, 425, 575, 595, 603, 671, 839, 1018, 1057, 1059, 1060, 1111, 1231, 1232, 1237, 1512, 1519, 1525, 1543, 1562, 1792, 1800, 2336, 2337, 2362, 2735, 2882, 2930, 2931]",0.000041,-0.004267,0.307522,0.061714,0.254655,-0.044821,0.092176,0.068805,0.201980,-0.003511
3,"[35, 48, 53, 134, 138, 144, 156, 160, 165, 238, 242, 245, 261, 274, 282, 425, 575, 595, 671, 839, 1018, 1057, 1059, 1060, 1111, 1231, 1232, 1237, 1512, 1519, 1525, 1543, 1562, 1582, 1800, 2336, 2337, 2362, 2735, 2882, 2930, 2931]",0.000041,-0.004509,0.303108,0.046473,0.257526,-0.034052,0.098293,0.139731,0.206713,0.019839
4,"[48, 53, 134, 138, 144, 156, 160, 165, 210, 238, 242, 256, 257, 261, 274, 276, 282, 425, 575, 595, 603, 839, 1018, 1057, 1059, 1060, 1111, 1231, 1232, 1237, 1512, 1519, 1525, 1543, 1562, 1582, 1792, 1800, 2336, 2337, 2362, 2735, 2882, 2930, 2931]",0.000040,-0.024638,0.297718,0.027865,0.252979,-0.051104,0.099568,0.154514,0.210574,0.038887
5,"[46, 52, 141, 145, 147, 166, 170, 191, 193, 200, 205, 207, 212, 214, 235, 247, 255, 266, 272, 273, 275, 285, 574, 577, 593, 641, 643, 648, 674, 676, 1037, 1058, 1078, 1081, 1188, 1228, 1499, 1515, 1518, 1520, 1544, 1553, 1563, 1569, 1570, 1576, 1580, 1684, 1969, 2053, 2065, 2066, 2067, 2213, 2432, 2775, 2790]",0.000039,-0.064412,0.310765,0.072911,0.254092,-0.046931,0.094476,0.095476,0.202097,-0.002935
6,"[42, 46, 52, 145, 159, 170, 173, 193, 198, 205, 214, 235, 248, 252, 260, 266, 270, 273, 275, 285, 301, 577, 580, 593, 632, 637, 643, 648, 670, 674, 676, 1037, 1058, 1078, 1081, 1107, 1188, 1228, 1499, 1500, 1518, 1544, 1553, 1563, 1569, 1570, 1576, 1580, 1684, 1969, 2053, 2066, 2067, 2068, 2257, 2432, 2781, 2790]",0.000040,-0.028261,0.318580,0.099890,0.244527,-0.082809,0.095563,0.108084,0.190258,-0.061340
7,"[37, 46, 52, 141, 145, 147, 159, 166, 170, 173, 191, 192, 198, 200, 207, 212, 214, 248, 266, 270, 272, 275, 285, 574, 577, 579, 593, 632, 637, 641, 643, 648, 670, 674, 1037, 1058, 1078, 1081, 1107, 1228, 1499, 1500, 1515, 1518, 1520, 1544, 1553, 1563, 1570, 1576, 1580, 1969, 2065, 2066, 2068, 2213, 2432, 2775, 2781, 2790]",0.000040,-0.040177,0.303349,0.047307,0.260373,-0.023373,0.108859,0.262252,0.194102,-0.042379
8,"[37, 42, 46, 52, 141, 145, 147, 159, 166, 191, 193, 198, 200, 207, 212, 214, 235, 236, 247, 252, 260, 266, 270, 272, 273, 275, 285, 301, 577, 579, 580, 632, 637, 641, 670, 674, 676, 1037, 1078, 1188, 1228, 1499, 1500, 1515, 1518, 1520, 1544, 1553, 1563, 1570, 1580, 1684, 1969, 2053, 2065, 2066, 2067, 2213, 2257, 2775, 2781, 2790]",0.000039,-0.044686,0.319934,0.104565,0.261970,-0.017381,0.102065,0.183476,0.194681,-0.039521
9,"[37, 42, 141, 147, 170, 173, 191, 192, 193, 198, 205, 207, 212, 214, 235, 236, 247, 248, 252, 255, 260, 266, 270, 272, 275, 285, 574, 577, 579, 580, 593, 637, 641, 643, 648, 674, 676, 1037, 1058, 1081, 1107, 1188, 1228, 1520, 1544, 1553, 1563, 1569, 1570, 1576, 1580, 1684, 2053, 2065, 2066, 2067, 2068, 2213, 2257, 2775, 2781, 2790]",0.000040,-0.037118,0.309597,0.068878,0.255879,-0.040229,0.095055,0.102190,0.186415,-0.080299
