,Vaccinated_Idxs,Fatality_Rate_Abs,Fatality_Rate_Rel,Age_Gini_Abs,Age_Gini_Rel,Income_Gini_Abs,Income_Gini_Rel,Occupation_Gini_Abs,Occupation_Gini_Rel,Minority_Gini_Abs,Minority_Gini_Rel
0,"[118, 164, 197, 235, 249, 258, 262, 263, 267, 268, 269, 273, 274, 289, 296, 300, 308, 316, 345, 349, 391, 400, 402, 403, 405, 409, 411, 420, 423, 446, 447, 552, 575, 676, 691, 704, 749, 752, 956, 1000, 1102, 1112, 1397, 1667, 1793, 1814, 1817, 1831, 1832, 1834, 1842, 1860, 1873, 1877, 1889, 2039, 2067, 2154, 2156, 2161, 2229, 2230, 2233, 2244, 2350, 2356, 2394, 2564, 2572, 2575, 2701, 2745, 3003, 3213, 3400, 3402, 3412, 3430, 3724, 3727, 3800, 3869, 3927, 3938, 3960, 3961]",0.000200,-0.121232,0.318134,0.065959,0.099942,-0.207205,0.095266,-0.232309,0.102752,-0.224963
1,"[118, 164, 197, 235, 249, 258, 262, 263, 267, 268, 269, 273, 274, 289, 296, 300, 308, 316, 345, 349, 391, 400, 402, 403, 405, 409, 411, 420, 423, 446, 447, 552, 575, 676, 691, 704, 749, 752, 956, 973, 1000, 1102, 1112, 1397, 1667, 1793, 1814, 1817, 1831, 1832, 1834, 1842, 1860, 1873, 1877, 1889, 2039, 2067, 2154, 2156, 2161, 2229, 2230, 2233, 2244, 2350, 2356, 2394, 2564, 2572, 2575, 2701, 2745, 3003, 3213, 3400, 3402, 3412, 3430, 3724, 3727, 3800, 3927, 3938, 3960, 3961]",0.000199,-0.129200,0.317380,0.063434,0.105215,-0.165373,0.100657,-0.188872,0.098916,-0.253897
2,"[118, 164, 197, 235, 249, 258, 262, 263, 267, 268, 269, 273, 274, 289, 296, 300, 308, 316, 345, 349, 391, 400, 402, 403, 405, 409, 411, 420, 423, 446, 447, 552, 575, 676, 691, 704, 749, 752, 956, 973, 1000, 1102, 1112, 1397, 1667, 1793, 1814, 1817, 1831, 1832, 1834, 1842, 1860, 1873, 1877, 1889, 2039, 2067, 2154, 2156, 2161, 2229, 2230, 2233, 2244, 2350, 2356, 2394, 2564, 2572, 2575, 2701, 2745, 3003, 3213, 3400, 3402, 3412, 3430, 3724, 3727, 3800, 3869, 3927, 3938, 3960, 3961]",0.000196,-0.140794,0.317955,0.065362,0.107678,-0.145835,0.102422,-0.174649,0.114077,-0.139537
3,"[118, 164, 197, 235, 249, 258, 262, 263, 267, 268, 269, 273, 274, 289, 296, 300, 308, 316, 345, 349, 391, 400, 402, 403, 405, 409, 411, 423, 446, 447, 552, 575, 676, 691, 704, 749, 752, 956, 973, 1000, 1102, 1112, 1397, 1667, 1793, 1814, 1817, 1831, 1832, 1834, 1842, 1860, 1873, 1877, 1889, 2039, 2067, 2154, 2156, 2161, 2229, 2230, 2233, 2244, 2350, 2356, 2394, 2564, 2572, 2575, 2701, 2745, 3003, 3213, 3400, 3402, 3412, 3430, 3724, 3727, 3800, 3869, 3927, 3938, 3960, 3961]",0.000205,-0.101417,0.322933,0.082041,0.107466,-0.147517,0.113261,-0.087300,0.111200,-0.161234
4,"[118, 164, 197, 235, 249, 258, 262, 263, 267, 268, 269, 273, 274, 289, 296, 300, 308, 316, 345, 349, 391, 400, 402, 403, 405, 409, 411, 420, 423, 446, 447, 552, 575, 676, 691, 704, 749, 752, 956, 973, 1000, 1102, 1112, 1397, 1667, 1793, 1814, 1817, 1831, 1832, 1834, 1842, 1860, 1873, 1877, 1889, 2039, 2067, 2154, 2156, 2161, 2229, 2230, 2233, 2350, 2356, 2394, 2564, 2572, 2575, 2701, 2745, 3003, 3213, 3400, 3402, 3412, 3430, 3724, 3727, 3800, 3869, 3927, 3938, 3960, 3961]",0.000199,-0.125865,0.316782,0.061431,0.107421,-0.147876,0.097488,-0.214404,0.105862,-0.201499
5,"[13, 56, 373, 443, 444, 531, 549, 556, 557, 589, 604, 656, 702, 705, 779, 784, 888, 911, 961, 1106, 1144, 1696, 1745, 1766, 1767, 1870, 2056, 2063, 2064, 2065, 2113, 2114, 2118, 2185, 2232, 2234, 2402, 2423, 2488, 2511, 2567, 2573, 2574, 2653, 2786, 3183, 3365, 3432, 3434, 3459, 3524, 3649, 3657, 3679, 3687, 3691, 3711, 3723, 3729, 3730, 3748, 3780, 3860, 3931, 3940, 3941, 3975, 3991, 3994, 4014, 4041]",0.000207,-0.092848,0.305846,0.024787,0.140650,0.115719,0.133491,0.075718,0.153611,0.158660
6,"[13, 56, 373, 443, 444, 531, 549, 556, 557, 589, 604, 656, 702, 705, 779, 784, 888, 911, 1106, 1144, 1696, 1745, 1766, 1767, 1870, 2056, 2063, 2064, 2065, 2113, 2114, 2118, 2185, 2232, 2234, 2402, 2423, 2488, 2511, 2567, 2573, 2574, 2653, 2786, 3183, 3365, 3432, 3434, 3457, 3459, 3524, 3649, 3657, 3679, 3687, 3691, 3711, 3723, 3729, 3730, 3748, 3780, 3860, 3931, 3940, 3941, 3975, 3991, 3994, 4014, 4041]",0.000209,-0.085742,0.304124,0.019018,0.133029,0.055262,0.131692,0.061223,0.148768,0.122129
7,"[13, 56, 373, 443, 444, 531, 549, 556, 557, 589, 604, 656, 702, 705, 779, 784, 888, 911, 961, 1106, 1144, 1696, 1745, 1766, 1767, 1870, 2056, 2063, 2064, 2065, 2113, 2114, 2118, 2185, 2232, 2234, 2402, 2423, 2488, 2511, 2567, 2573, 2574, 2653, 2786, 3183, 3365, 3432, 3434, 3457, 3459, 3460, 3524, 3649, 3657, 3679, 3687, 3691, 3711, 3723, 3729, 3730, 3748, 3860, 3931, 3940, 3941, 3975, 3991, 3994, 4014, 4041]",0.000211,-0.074129,0.298907,0.001537,0.141860,0.125312,0.132575,0.068338,0.152193,0.147969
8,"[13, 56, 373, 443, 444, 531, 549, 556, 557, 589, 604, 656, 702, 705, 779, 784, 888, 911, 961, 1106, 1144, 1696, 1745, 1766, 1767, 1870, 2056, 2063, 2064, 2065, 2113, 2114, 2118, 2185, 2232, 2234, 2402, 2423, 2488, 2511, 2567, 2573, 2574, 2653, 2786, 3183, 3365, 3432, 3434, 3457, 3459, 3460, 3524, 3649, 3657, 3679, 3687, 3691, 3711, 3723, 3729, 3730, 3748, 3780, 3860, 3931, 3940, 3941, 3975, 3991, 3994, 4014, 4041]",0.000212,-0.069961,0.298665,0.000724,0.127522,0.011580,0.126269,0.017520,0.145978,0.101089
9,"[13, 56, 373, 443, 444, 531, 549, 556, 557, 589, 604, 656, 702, 705, 779, 784, 888, 911, 961, 1106, 1144, 1696, 1745, 1766, 1767, 1870, 2056, 2063, 2064, 2065, 2113, 2114, 2118, 2185, 2232, 2234, 2402, 2423, 2511, 2567, 2573, 2574, 2653, 2786, 3183, 3365, 3432, 3434, 3457, 3459, 3460, 3524, 3649, 3657, 3679, 3687, 3691, 3711, 3723, 3729, 3730, 3748, 3860, 3931, 3940, 3941, 3975, 3991, 3994, 4014, 4041]",0.000216,-0.054693,0.301281,0.009493,0.138320,0.097235,0.130172,0.048972,0.147551,0.112952
